
Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,194,6,4,0,4,4,0,4,6,0,0,0,0,0,0,0
1,195,5,4,0,4,0,0,0,5,0,0,0,0,0,0,0
2,197,3,4,0,4,0,0,0,2,1,0,0,0,0,0,0
3,194,6,4,0,4,0,0,0,2,4,0,0,0,0,0,0
4,197,3,4,0,4,0,0,0,0,3,1,0,0,0,0,0
5,195,5,5,1,4,1,1,0,1,4,3,0,0,0,0,0
6,195,5,5,1,4,0,0,0,1,4,4,0,0,0,0,0
7,191,9,7,2,5,2,1,1,2,7,6,0,0,0,0,0
8,191,9,8,3,5,1,1,0,3,6,5,0,0,0,0,0
9,191,9,10,5,5,2,2,0,5,4,4,0,0,0,0,0
10,187,13,11,5,6,1,0,1,5,8,7,0,0,0,0,0
11,189,11,12,5,7,1,0,1,3,8,4,0,0,0,0,0
12,188,11,12,5,7,0,0,0,2,9,5,0,1,0,1,0
13,184,13,15,6,9,3,1,2,6,7,6,0,3,0,3,0
14,179,15,17,6,11,2,0,2,7,8,6,0,5,0,5,0
15,182,13,18,6,12,1,0,1,4,9,6,0,5,0,5,0
16,182,15,19,7,12,1,1,0,5,10,7,0,5,0,5,0
17,177,15,22,8,14,3,1,2,6,9,6,0,6,1,5,1
18,176,19,24,9,15,2,1,1,7,12,7,2,6,1,5,2
19,173,20,26,10,16,2,1,1,6,14,7,2,6,1,5,2
20,170,22,29,11,18,3,1,2,7,15,8,3,7,2,5,2
21,167,23,32,13,19,3,2,1,8,15,8,3,9,3,6,2
22,164,24,35,15,20,3,2,1,8,16,8,4,10,4,6,3
23,164,25,36,15,21,1,0,1,9,16,10,4,10,4,6,3
24,163,25,37,16,21,1,1,0,6,19,11,4,11,4,7,3
25,160,27,40,18,22,3,2,1,8,19,10,4,12,4,8,3
26,159,25,41,18,23,1,0,1,6,19,11,4,14,5,9,4
27,155,28,45,19,26,4,1,3,7,21,12,3,15,5,10,5
28,156,25,45,19,26,0,0,0,6,19,13,2,18,5,13,5
