
Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,198,2,2,0,2,2,0,2,2,0,0,0,0,0,0,0
1,198,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0
2,198,2,2,0,2,0,0,0,1,1,0,0,0,0,0,0
3,198,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0
4,197,2,2,0,2,0,0,0,0,2,0,1,0,0,0,1
5,198,2,2,0,2,0,0,0,0,2,1,1,0,0,0,1
6,197,3,3,0,3,1,0,1,1,2,1,1,0,0,0,1
7,196,4,4,1,3,1,1,0,2,2,1,1,0,0,0,1
8,196,4,4,1,3,0,0,0,2,2,1,1,0,0,0,1
9,195,4,4,1,3,0,0,0,1,3,1,1,0,0,0,2
10,196,4,4,1,3,0,0,0,0,4,1,1,0,0,0,2
11,195,5,5,2,3,1,1,0,1,4,1,2,0,0,0,2
12,195,4,5,2,3,0,0,0,1,3,2,1,1,0,1,2
13,193,3,5,2,3,0,0,0,1,2,1,1,2,0,2,4
14,195,3,5,2,3,0,0,0,0,3,1,1,2,0,2,4
15,195,3,5,2,3,0,0,0,0,3,1,1,2,0,2,4
16,193,5,7,2,5,2,0,2,2,3,2,1,2,0,2,4
17,193,5,7,2,5,0,0,0,2,3,2,1,2,0,2,4
18,193,5,7,2,5,0,0,0,2,3,2,1,2,0,2,4
19,193,4,7,2,5,0,0,0,1,3,2,0,3,1,2,4
20,193,3,7,2,5,0,0,0,0,3,1,0,4,1,3,4
21,193,3,7,2,5,0,0,0,0,3,1,1,4,1,3,4
22,193,3,7,2,5,0,0,0,0,3,1,2,4,1,3,4
23,193,3,7,2,5,0,0,0,0,3,1,2,4,1,3,4
24,192,3,8,2,6,1,0,1,1,2,0,2,5,2,3,4
25,192,3,8,2,6,0,0,0,1,2,0,2,5,2,3,4
26,192,3,8,2,6,0,0,0,0,3,0,2,5,2,3,4
27,192,3,8,2,6,0,0,0,0,3,0,2,5,2,3,4
28,189,5,10,2,8,2,0,2,2,3,0,3,5,2,3,5
