
Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,196,4,4,0,4,4,0,4,4,0,0,0,0,0,0,0
1,196,4,4,0,4,0,0,0,4,0,0,0,0,0,0,0
2,197,3,4,0,4,0,0,0,0,3,0,0,0,0,0,0
3,196,4,4,0,4,0,0,0,0,4,0,0,0,0,0,0
4,197,3,4,0,4,0,0,0,0,3,2,1,0,0,0,0
5,198,2,4,0,4,0,0,0,0,2,2,0,0,0,0,0
6,198,2,4,0,4,0,0,0,0,2,2,0,0,0,0,0
7,195,5,5,1,4,1,1,0,1,4,3,1,0,0,0,0
8,195,5,5,1,4,0,0,0,1,4,3,1,0,0,0,0
9,195,5,6,2,4,1,1,0,2,3,3,0,0,0,0,0
10,193,7,7,3,4,1,1,0,2,5,3,1,0,0,0,0
11,194,6,7,3,4,0,0,0,2,4,2,1,0,0,0,0
12,194,4,8,3,5,1,0,1,3,1,0,1,2,0,2,0
13,194,4,8,3,5,0,0,0,2,2,0,1,2,0,2,0
14,193,3,8,3,5,0,0,0,0,3,0,1,2,0,2,0
15,192,4,8,3,5,0,0,0,1,3,1,1,2,0,2,0
16,192,3,9,3,6,1,0,1,1,2,0,2,2,0,2,2
17,193,2,9,3,6,0,0,0,0,2,0,2,2,0,2,3
18,192,5,10,3,7,1,0,1,2,3,1,2,2,0,2,3
19,194,4,10,3,7,0,0,0,0,4,1,2,2,0,2,3
20,193,4,10,3,7,0,0,0,0,4,1,1,3,1,2,3
21,191,3,10,3,7,0,0,0,0,3,0,2,3,1,2,4
22,193,2,10,3,7,0,0,0,0,2,1,1,3,1,2,4
23,192,4,11,4,7,1,1,0,1,3,2,1,3,1,2,4
24,192,2,11,4,7,0,0,0,1,1,0,0,4,2,2,4
25,190,5,11,4,7,0,0,0,1,4,3,0,4,2,2,4
26,192,3,11,4,7,0,0,0,1,2,0,1,5,2,3,4
27,191,4,11,4,7,0,0,0,0,4,1,2,5,2,3,4
28,189,5,11,4,7,0,0,0,1,4,2,2,5,2,3,4
29,192,1,11,4,7,0,0,0,0,1,1,0,5,2,3,4
30,191,2,11,4,7,0,0,0,0,2,1,0,7,2,5,4
31,192,2,11,4,7,0,0,0,0,2,1,1,7,2,5,4
32,188,3,11,4,7,0,0,0,0,3,1,1,7,2,5,5
