
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,591,8,8,8,8,0,0,0,0,0,0,1
1,590,10,10,2,10,0,0,0,0,0,0,1
2,588,11,11,1,6,5,0,0,0,0,0,2
3,587,13,13,2,6,7,0,0,0,0,0,2
4,582,17,17,4,6,11,4,1,0,0,0,3
5,579,21,21,4,9,12,4,3,0,0,0,3
6,575,25,25,4,11,14,8,3,0,0,0,3
7,567,33,33,8,16,17,9,3,0,0,0,3
8,564,36,36,3,16,20,10,4,0,0,0,3
9,558,42,42,6,17,25,13,4,0,0,0,3
10,552,48,48,6,17,31,14,6,0,0,0,3
11,545,55,55,7,21,34,18,7,0,0,0,3
12,539,55,60,5,22,33,19,7,5,0,5,4
13,531,59,67,7,17,42,20,6,7,0,7,7
14,529,59,72,5,17,42,18,7,11,0,11,8
15,526,62,76,4,18,44,24,12,12,1,11,8
16,518,68,84,8,18,50,25,14,14,1,13,8
17,516,67,86,2,15,52,25,14,17,2,15,8
18,505,74,96,10,18,56,29,15,20,3,17,9
19,498,78,104,8,21,57,28,17,24,6,18,9
20,490,81,112,8,21,60,28,19,29,7,22,9
21,483,84,119,7,22,62,29,19,32,8,24,10
22,472,91,130,11,25,66,30,22,36,9,27,11
23,460,92,143,13,30,62,28,18,48,11,37,11
24,451,94,151,8,32,62,32,16,53,13,40,13
25,445,99,159,8,24,75,37,16,56,14,42,13
26,438,98,166,7,26,72,35,16,64,19,45,13
27,431,100,173,7,21,79,42,20,69,22,47,13
28,420,103,184,11,26,77,38,21,75,22,53,15
29,412,106,192,8,28,78,40,26,78,23,55,19
30,407,108,201,9,28,80,41,24,85,24,61,19
31,395,111,212,11,30,81,38,25,91,27,64,22
32,385,116,224,12,34,82,37,28,98,30,68,23
33,377,117,233,9,32,85,37,29,105,31,74,24
34,369,120,242,9,29,91,40,28,111,33,78,24
35,364,112,247,5,22,90,41,25,124,40,84,24
36,358,113,253,6,22,91,49,24,129,42,87,24
37,353,106,258,5,19,87,53,20,141,46,95,24
38,343,109,268,10,22,87,52,20,147,49,98,25
39,334,113,278,10,25,88,54,20,153,51,102,25
40,325,113,287,9,26,87,52,20,162,53,109,25
41,317,113,295,8,27,86,50,21,170,59,111,25
