
Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,196,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0
1,196,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2,198,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3,198,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
4,196,4,0,0,0,0,0,0,0,4,0,1,0,0,0,0
5,198,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0
6,193,7,2,1,1,2,1,1,3,4,2,2,0,0,0,0
7,192,8,2,1,1,0,0,0,4,4,3,1,0,0,0,0
8,190,10,5,3,2,3,2,1,6,4,2,2,0,0,0,0
9,192,8,5,3,2,0,0,0,5,3,1,1,0,0,0,0
10,191,9,6,4,2,1,1,0,4,5,1,1,0,0,0,0
11,188,12,6,4,2,0,0,0,2,10,4,2,0,0,0,0
12,192,7,6,4,2,0,0,0,0,7,1,2,1,0,1,0
13,191,7,7,5,2,1,1,0,1,6,2,2,2,0,2,0
14,189,9,9,6,3,2,1,1,3,6,3,3,2,0,2,0
15,189,9,9,6,3,0,0,0,2,7,3,3,2,0,2,0
16,188,10,10,6,4,1,0,1,3,7,3,3,2,0,2,0
17,187,11,11,7,4,1,1,0,4,7,4,3,2,0,2,0
18,184,14,14,8,6,3,1,2,5,9,4,3,2,0,2,0
19,183,14,15,8,7,1,0,1,4,10,3,3,3,1,2,0
20,182,14,16,8,8,1,0,1,5,9,4,3,4,1,3,0
21,180,14,18,8,10,2,0,2,7,7,5,2,6,3,3,0
22,180,12,18,8,10,0,0,0,3,9,4,1,8,4,4,0
23,180,12,18,8,10,0,0,0,1,11,4,1,8,4,4,0
24,178,14,20,10,10,2,2,0,3,11,7,2,8,4,4,0
25,177,14,21,10,11,1,0,1,3,11,7,3,9,5,4,0
26,177,14,21,10,11,0,0,0,3,11,7,3,9,5,4,0
27,173,17,24,12,12,3,2,1,6,11,8,3,9,5,4,1
28,172,17,26,13,13,2,1,1,6,11,7,2,11,6,5,1
29,169,18,29,14,15,3,1,2,8,10,5,2,13,7,6,1
30,168,19,30,14,16,1,0,1,6,13,7,2,13,7,6,1
31,166,21,32,15,17,2,1,1,6,15,8,2,13,7,6,1
32,162,19,34,15,19,2,0,2,5,14,8,1,17,8,9,3
33,164,17,34,15,19,0,0,0,4,13,9,0,19,8,11,3
34,162,19,36,16,20,2,1,1,5,14,12,0,19,8,11,3
35,160,20,38,16,22,2,0,2,4,16,12,0,20,8,12,3
36,158,22,40,18,22,2,2,0,5,17,12,1,20,8,12,3
37,155,25,43,20,23,3,2,1,6,19,13,3,20,8,12,3
38,153,25,45,20,25,2,0,2,6,19,12,3,22,10,12,3
39,152,24,46,20,26,1,0,1,7,17,12,3,23,10,13,4
40,149,25,50,21,29,4,1,3,9,16,11,3,26,11,15,4
41,147,26,52,22,30,2,1,1,8,18,10,3,27,12,15,4
42,147,23,52,22,30,0,0,0,5,18,8,4,30,13,17,4
43,145,24,54,24,30,2,2,0,4,20,10,4,31,13,18,4
44,143,25,56,25,31,2,1,1,5,20,12,4,32,13,19,4
45,141,22,58,26,32,2,1,1,5,17,11,3,35,14,21,6
46,140,23,61,26,35,3,0,3,8,15,10,3,36,15,21,7
47,140,22,62,26,36,1,0,1,8,14,9,4,38,15,23,7
48,137,24,65,27,38,3,1,2,8,16,8,4,39,15,24,7
49,136,25,66,28,38,1,1,0,5,20,9,4,39,15,24,7
50,133,25,69,30,39,3,2,1,7,18,10,3,41,16,25,8
51,133,25,70,31,39,1,1,0,6,19,12,4,42,16,26,8
52,131,24,72,33,39,2,2,0,4,20,10,4,45,16,29,8
53,129,23,74,34,40,2,1,1,4,19,10,3,48,17,31,8
54,129,22,74,34,40,0,0,0,3,19,12,4,49,18,31,8
55,125,25,78,35,43,4,1,3,4,21,14,3,50,18,32,8
56,125,25,78,35,43,0,0,0,4,21,15,3,50,18,32,8
57,122,27,81,36,45,3,1,2,7,20,15,5,51,19,32,8
58,120,26,83,37,46,2,1,1,7,19,12,5,54,20,34,8
59,118,24,85,37,48,2,0,2,7,17,9,4,58,21,37,8
60,116,25,87,38,49,2,1,1,7,18,11,3,59,21,38,8
61,116,23,87,38,49,0,0,0,4,19,11,3,61,22,39,8
62,116,19,87,38,49,0,0,0,1,18,10,2,65,24,41,8
63,115,18,88,38,50,1,0,1,1,17,10,3,67,26,41,8
64,114,17,89,39,50,1,1,0,2,15,9,5,68,27,41,9
65,115,14,89,39,50,0,0,0,2,12,9,3,71,29,42,9
66,114,15,90,40,50,1,1,0,3,12,9,3,71,29,42,9
67,112,17,92,41,51,2,1,1,4,13,9,3,71,29,42,9
68,110,18,94,43,51,2,2,0,4,14,8,3,72,29,43,9
69,109,17,95,44,51,1,1,0,5,12,6,4,74,29,45,9
70,109,15,95,44,51,0,0,0,4,11,4,6,76,30,46,9
71,109,12,95,44,51,0,0,0,2,10,2,5,79,31,48,9
72,109,9,95,44,51,0,0,0,0,9,2,3,82,31,51,9
73,109,8,95,44,51,0,0,0,0,8,3,3,83,32,51,9
74,109,8,95,44,51,0,0,0,0,8,4,4,83,32,51,10
75,110,8,95,44,51,0,0,0,0,8,4,4,83,32,51,10
76,109,9,96,44,52,1,0,1,1,8,4,4,83,32,51,10
77,109,8,96,44,52,0,0,0,1,7,4,3,84,32,52,10
78,109,6,96,44,52,0,0,0,1,5,4,1,86,34,52,10
79,109,6,96,44,52,0,0,0,0,6,4,1,86,34,52,10
80,109,5,96,44,52,0,0,0,0,5,3,1,87,35,52,10
81,108,4,97,45,52,1,1,0,1,3,2,1,89,36,53,10
82,107,3,98,46,52,1,1,0,2,1,1,0,91,38,53,10
83,106,4,99,46,53,1,0,1,2,2,1,0,91,38,53,10
84,106,4,99,46,53,0,0,0,2,2,1,0,91,38,53,10
85,106,4,99,46,53,0,0,0,2,2,2,0,91,38,53,10
86,106,3,99,46,53,0,0,0,1,2,1,0,91,38,53,11
87,107,3,99,46,53,0,0,0,0,3,1,0,91,38,53,11
88,107,3,99,46,53,0,0,0,0,3,1,1,91,38,53,11
89,107,2,99,46,53,0,0,0,0,2,0,2,92,38,54,11
90,107,2,99,46,53,0,0,0,0,2,0,2,92,38,54,11
91,107,2,99,46,53,0,0,0,0,2,0,2,92,38,54,11
92,107,2,99,46,53,0,0,0,0,2,0,2,92,38,54,11
93,107,2,99,46,53,0,0,0,0,2,0,2,92,38,54,11
94,107,2,99,46,53,0,0,0,0,2,0,2,92,38,54,11
95,107,2,99,46,53,0,0,0,0,2,0,2,92,38,54,11
96,107,1,99,46,53,0,0,0,0,1,0,1,93,39,54,11
97,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,11
98,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,11
99,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,11
100,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,11
101,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,11
102,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,11
103,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,11
104,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,11
105,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,11
106,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,11
107,106,0,99,46,53,0,0,0,0,0,0,0,94,39,55,12
108,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,12
109,106,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
110,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
111,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
112,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
113,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
114,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
115,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
116,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
117,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
118,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
119,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
120,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
121,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
122,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
123,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
124,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
125,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
126,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
127,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
128,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
129,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
130,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
131,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
132,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
133,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
134,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
135,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
136,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
137,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
138,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
139,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
140,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,13
141,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,14
142,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,14
143,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,14
144,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,14
145,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,14
146,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,14
147,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,15
148,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,15
149,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,15
150,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,15
151,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,15
152,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,15
153,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,15
154,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,15
155,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,15
156,107,0,99,46,53,0,0,0,0,0,0,0,94,39,55,16
157,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,16
158,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,16
159,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,16
160,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,16
161,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,16
162,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,16
163,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,16
164,108,0,99,46,53,0,0,0,0,0,0,0,94,39,55,16
