
Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,197,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0
1,197,3,3,0,3,0,0,0,3,0,0,0,0,0,0,0
2,197,3,3,0,3,0,0,0,2,1,0,0,0,0,0,0
3,197,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0
4,197,3,3,0,3,0,0,0,0,3,0,1,0,0,0,0
5,197,3,3,0,3,0,0,0,0,3,1,2,0,0,0,0
6,196,4,4,1,3,1,1,0,1,3,1,2,0,0,0,0
7,196,4,4,1,3,0,0,0,1,3,1,2,0,0,0,0
8,192,7,7,4,3,3,3,0,4,3,1,2,0,0,0,1
9,190,9,9,6,3,2,2,0,6,3,1,2,0,0,0,2
10,191,9,9,6,3,0,0,0,2,7,1,2,0,0,0,2
11,191,9,9,6,3,0,0,0,1,8,1,2,0,0,0,2
12,189,10,11,6,5,2,0,2,3,7,5,1,1,0,1,2
13,189,8,11,6,5,0,0,0,2,6,4,1,3,0,3,2
14,186,10,13,6,7,2,0,2,3,7,4,1,3,0,3,3
15,186,11,14,6,8,1,0,1,4,7,5,1,3,0,3,3
16,186,11,14,6,8,0,0,0,3,8,5,2,3,0,3,3
17,184,12,15,7,8,1,1,0,2,10,5,2,3,0,3,4
18,184,13,16,8,8,1,1,0,3,10,5,3,3,0,3,4
19,181,15,18,8,10,2,0,2,3,12,7,3,3,0,3,5
20,179,14,21,10,11,3,2,1,6,8,3,3,7,4,3,5
21,179,13,21,10,11,0,0,0,4,9,4,3,8,5,3,5
22,176,16,24,11,13,3,1,2,6,10,4,3,8,5,3,5
23,175,16,25,11,14,1,0,1,5,11,5,3,9,6,3,5
24,175,15,25,11,14,0,0,0,2,13,6,2,10,6,4,5
25,174,16,26,11,15,1,0,1,2,14,7,3,10,6,4,5
26,169,20,31,13,18,5,2,3,6,14,8,4,11,6,5,5
27,169,17,31,13,18,0,0,0,5,12,6,4,13,6,7,6
28,168,19,33,14,19,2,1,1,5,14,7,4,13,6,7,6
29,168,18,33,14,19,0,0,0,3,15,8,3,14,6,8,6
30,167,19,34,15,19,1,1,0,3,16,10,3,14,6,8,6
31,167,17,34,15,19,0,0,0,3,14,9,4,16,7,9,6
32,164,19,37,17,20,3,2,1,3,16,9,4,17,8,9,6
33,162,19,39,17,22,2,0,2,5,14,8,3,19,8,11,6
34,160,18,41,18,23,2,1,1,7,11,8,3,22,10,12,6
35,159,18,42,19,23,1,1,0,6,12,7,3,23,10,13,6
36,159,17,42,19,23,0,0,0,2,15,6,3,24,10,14,6
37,158,17,43,19,24,1,0,1,3,14,7,3,25,10,15,6
38,154,19,47,20,27,4,1,3,6,13,8,4,27,11,16,6
