Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,196.678,3.231,2.873,0.0,2.873,2.873,0.0,2.873,3.231,0.0,0.0,0.0,0.0,0.0,0.0,0.091
1,196.675,3.231,2.873,0.0,2.873,0.0,0.0,0.0,3.231,0.0,0.0,0.0,0.0,0.0,0.0,0.185
2,196.66,3.235,2.873,0.0,2.873,0.0,0.0,0.0,2.372,0.863,0.0,0.0,0.0,0.0,0.0,0.29
3,196.525,3.386,3.031,0.099,2.932,0.158,0.099,0.059,1.369,2.017,0.0,0.0,0.0,0.0,0.0,0.379
4,196.065,3.822,3.455,0.373,3.082,0.424,0.274,0.15,0.581,3.241,0.522,0.341,0.0,0.0,0.0,0.492
5,195.425,4.466,4.107,0.788,3.319,0.652,0.415,0.237,1.169,3.297,1.241,0.809,0.0,0.0,0.0,0.601
6,194.779,5.116,4.757,1.168,3.589,0.65,0.38,0.27,1.622,3.494,1.962,1.276,0.0,0.0,0.0,0.706
7,194.131,5.763,5.416,1.548,3.868,0.659,0.38,0.279,1.884,3.879,2.01,1.279,0.0,0.0,0.0,0.812
8,193.416,6.476,6.132,1.969,4.163,0.716,0.421,0.295,2.063,4.413,2.151,1.333,0.0,0.0,0.0,0.92
9,192.641,7.256,6.914,2.37,4.544,0.782,0.401,0.381,2.18,5.076,2.421,1.456,0.0,0.0,0.0,1.023
10,191.767,8.131,7.817,2.837,4.98,0.903,0.467,0.436,2.406,5.725,2.813,1.584,0.0,0.0,0.0,1.125
11,190.774,9.101,8.789,3.297,5.492,0.972,0.46,0.512,2.645,6.456,3.302,1.766,0.0,0.0,0.0,1.25
12,189.78,9.252,9.83,3.815,6.015,1.041,0.518,0.523,2.892,6.36,3.252,1.601,0.863,0.0,0.863,1.355
13,188.797,9.026,10.818,4.237,6.581,0.988,0.422,0.566,3.014,6.012,2.993,1.366,2.052,0.0,2.052,1.48
14,187.951,8.692,11.714,4.612,7.102,0.896,0.375,0.521,2.947,5.745,2.806,1.126,3.234,0.0,3.234,1.609
15,187.206,9.389,12.502,4.883,7.619,0.788,0.271,0.517,2.708,6.681,3.326,1.382,3.29,0.035,3.255,1.73
16,186.298,10.104,13.434,5.198,8.236,0.932,0.315,0.617,2.679,7.425,3.821,1.62,3.471,0.148,3.323,1.859
17,185.313,10.718,14.465,5.581,8.884,1.031,0.383,0.648,2.844,7.874,4.228,1.829,3.833,0.383,3.45,2.002
18,184.243,11.266,15.585,6.029,9.556,1.12,0.448,0.672,3.056,8.21,4.468,1.984,4.34,0.684,3.656,2.144
19,183.14,11.747,16.739,6.501,10.238,1.154,0.472,0.682,3.263,8.484,4.555,2.092,4.96,1.037,3.923,2.293
20,182.059,12.206,17.872,7.001,10.871,1.133,0.5,0.633,3.452,8.754,4.641,2.225,5.594,1.4,4.194,2.429
21,180.844,12.757,19.158,7.582,11.576,1.286,0.581,0.705,3.635,9.122,4.802,2.285,6.273,1.77,4.503,2.564
22,179.613,13.239,20.441,8.143,12.298,1.283,0.561,0.722,3.78,9.459,4.858,2.377,7.019,2.155,4.864,2.704
23,178.326,13.721,21.778,8.741,13.037,1.337,0.598,0.739,3.925,9.796,5.027,2.437,7.835,2.539,5.296,2.83
24,177.049,14.097,23.104,9.345,13.759,1.326,0.604,0.722,3.989,10.108,5.147,2.517,8.726,2.965,5.761,2.977
25,175.722,14.434,24.468,9.957,14.511,1.364,0.612,0.752,4.06,10.374,5.282,2.55,9.707,3.397,6.31,3.127
26,174.363,14.891,25.884,10.64,15.244,1.416,0.683,0.733,4.164,10.727,5.49,2.644,10.612,3.772,6.84,3.283
27,173.0,15.453,27.324,11.307,16.017,1.44,0.667,0.773,4.263,11.19,5.767,2.776,11.434,4.083,7.351,3.425
28,171.597,16.014,28.808,11.959,16.849,1.484,0.652,0.832,4.403,11.611,6.084,2.858,12.29,4.394,7.896,3.567
29,170.111,16.571,30.33,12.638,17.692,1.522,0.679,0.843,4.515,12.056,6.32,2.999,13.192,4.671,8.521,3.742
30,168.685,17.108,31.843,13.302,18.541,1.513,0.664,0.849,4.543,12.565,6.602,3.083,14.098,4.97,9.128,3.905
31,167.242,17.531,33.359,13.974,19.385,1.516,0.672,0.844,4.56,12.971,6.82,3.181,15.126,5.361,9.765,4.068
32,165.749,17.941,34.928,14.684,20.244,1.569,0.71,0.859,4.678,13.263,7.048,3.266,16.225,5.807,10.418,4.209
33,164.182,18.379,36.564,15.368,21.196,1.636,0.684,0.952,4.822,13.557,7.272,3.352,17.35,6.262,11.088,4.366
34,162.586,18.789,38.241,16.103,22.138,1.677,0.735,0.942,4.962,13.827,7.41,3.396,18.547,6.741,11.806,4.518
35,161.002,19.144,39.902,16.831,23.071,1.661,0.728,0.933,5.063,14.081,7.547,3.448,19.766,7.235,12.531,4.683
36,159.466,19.459,41.531,17.552,23.979,1.629,0.721,0.908,5.062,14.397,7.701,3.515,20.999,7.758,13.241,4.843
37,157.88,19.792,43.2,18.292,24.908,1.669,0.74,0.929,5.083,14.709,7.859,3.576,22.262,8.296,13.966,5.003
38,156.226,20.208,44.949,19.066,25.883,1.749,0.774,0.975,5.128,15.08,8.048,3.689,23.532,8.829,14.703,5.15
39,154.592,20.481,46.63,19.851,26.779,1.681,0.785,0.896,5.225,15.256,8.223,3.754,24.874,9.426,15.448,5.313
40,152.973,20.698,48.334,20.646,27.688,1.704,0.795,0.909,5.246,15.452,8.381,3.808,26.283,10.025,16.258,5.48
41,151.304,20.982,50.097,21.481,28.616,1.763,0.835,0.928,5.256,15.726,8.433,3.86,27.696,10.623,17.073,5.624
42,149.601,21.279,51.86,22.264,29.596,1.763,0.783,0.98,5.31,15.969,8.59,3.921,29.09,11.194,17.896,5.793
43,148.001,21.453,53.544,23.052,30.492,1.684,0.788,0.896,5.271,16.182,8.729,4.027,30.509,11.791,18.718,5.984
44,146.354,21.685,55.309,23.858,31.451,1.765,0.806,0.959,5.313,16.372,8.881,4.052,31.972,12.424,19.548,6.141
45,144.732,21.818,57.019,24.661,32.358,1.71,0.803,0.907,5.298,16.52,9.003,4.074,33.448,13.017,20.431,6.33
46,143.126,21.885,58.709,25.416,33.293,1.69,0.755,0.935,5.233,16.652,9.079,4.097,34.99,13.632,21.358,6.511
47,141.518,21.93,60.425,26.224,34.201,1.716,0.808,0.908,5.211,16.719,9.111,4.12,36.569,14.275,22.294,6.693
48,139.933,21.908,62.108,26.973,35.135,1.683,0.749,0.934,5.168,16.74,9.136,4.143,38.187,14.94,23.247,6.886
49,138.397,21.965,63.763,27.756,36.007,1.655,0.783,0.872,5.11,16.855,9.246,4.182,39.688,15.55,24.138,7.076
50,136.891,21.896,65.394,28.509,36.885,1.631,0.753,0.878,5.071,16.825,9.238,4.215,41.28,16.194,25.086,7.262
51,135.308,21.827,67.066,29.271,37.795,1.672,0.762,0.91,5.048,16.779,9.263,4.158,42.929,16.904,26.025,7.452
52,133.807,21.758,68.703,30.058,38.645,1.637,0.787,0.85,5.031,16.727,9.196,4.188,44.55,17.614,26.936,7.622
53,132.198,21.746,70.399,30.849,39.55,1.696,0.791,0.905,5.118,16.628,9.143,4.226,46.173,18.329,27.844,7.802
54,130.707,21.597,71.993,31.596,40.397,1.594,0.747,0.847,5.076,16.521,9.096,4.187,47.809,19.019,28.79,7.997
55,129.188,21.508,73.64,32.341,41.299,1.647,0.745,0.902,4.974,16.534,9.004,4.15,49.445,19.742,29.703,8.186
56,127.769,21.309,75.175,33.055,42.12,1.535,0.714,0.821,4.853,16.456,8.904,4.15,51.097,20.443,30.654,8.366
57,126.294,21.147,76.763,33.798,42.965,1.588,0.743,0.845,4.781,16.366,8.912,4.144,52.743,21.128,31.615,8.55
58,124.888,20.94,78.286,34.49,43.796,1.523,0.692,0.831,4.807,16.133,8.895,4.09,54.378,21.825,32.553,8.729
59,123.57,20.689,79.733,35.169,44.564,1.447,0.679,0.768,4.622,16.067,8.869,4.077,55.995,22.535,33.46,8.889
60,122.165,20.527,81.238,35.907,45.331,1.505,0.738,0.767,4.632,15.895,8.752,4.025,57.574,23.204,34.37,9.047
61,120.907,20.19,82.595,36.549,46.046,1.357,0.642,0.715,4.429,15.761,8.761,3.951,59.181,23.899,35.282,9.22
62,119.676,19.868,83.932,37.194,46.738,1.337,0.645,0.692,4.255,15.613,8.639,3.903,60.759,24.562,36.197,9.394
63,118.455,19.613,85.269,37.825,47.444,1.337,0.631,0.706,4.162,15.451,8.575,3.935,62.279,25.247,37.032,9.546
64,117.219,19.282,86.58,38.447,48.133,1.311,0.622,0.689,4.041,15.241,8.509,3.872,63.825,25.908,37.917,9.752
