
Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,195,5,4,0,4,4,0,4,5,0,0,0,0,0,0,0
1,195,5,4,0,4,0,0,0,5,0,0,0,0,0,0,0
2,195,5,4,0,4,0,0,0,2,3,0,0,0,0,0,0
3,195,5,4,0,4,0,0,0,1,4,0,0,0,0,0,0
4,194,6,5,1,4,1,1,0,1,5,1,2,0,0,0,0
5,194,6,5,1,4,0,0,0,1,5,1,3,0,0,0,0
6,191,8,7,1,6,2,0,2,2,6,1,4,0,0,0,1
7,192,8,7,1,6,0,0,0,2,6,1,4,0,0,0,1
8,191,9,8,2,6,1,1,0,3,6,2,4,0,0,0,1
9,187,13,12,2,10,4,0,4,6,7,2,4,0,0,0,1
10,185,15,14,2,12,2,0,2,7,8,2,4,0,0,0,1
11,183,17,16,4,12,2,2,0,7,10,3,4,0,0,0,1
12,180,17,19,7,12,3,3,0,8,9,2,3,3,0,3,1
13,179,17,21,9,12,2,2,0,8,9,3,2,4,0,4,1
14,177,18,22,9,13,1,0,1,6,12,5,2,5,0,5,1
15,174,21,26,13,13,4,4,0,7,14,7,1,5,0,5,1
16,172,22,28,14,14,2,1,1,6,16,7,3,6,1,5,1
17,171,23,29,15,14,1,1,0,6,17,9,4,6,1,5,1
18,167,26,32,16,16,3,1,2,7,19,11,5,6,1,5,2
19,167,26,33,16,17,1,0,1,7,19,11,5,7,1,6,2
20,166,26,34,16,18,1,0,1,5,21,13,4,8,1,7,2
21,165,26,35,17,18,1,1,0,5,21,13,4,9,2,7,2
22,165,24,35,17,18,0,0,0,2,22,13,5,11,2,9,2
23,161,26,39,18,21,4,1,3,5,21,12,5,13,3,10,2
24,161,23,39,18,21,0,0,0,4,19,12,5,16,4,12,2
25,159,22,41,18,23,2,0,2,4,18,11,4,19,7,12,2
26,157,21,43,20,23,2,2,0,4,17,10,3,22,9,13,2
27,155,21,44,21,23,1,1,0,4,17,10,4,23,10,13,3
28,154,21,46,23,23,2,2,0,4,17,9,5,25,12,13,3
29,153,21,47,24,23,1,1,0,4,17,9,5,26,13,13,3
30,151,19,49,24,25,2,0,2,4,15,8,4,29,15,14,4
31,151,19,50,24,26,1,0,1,4,15,8,4,30,15,15,4
32,148,20,53,27,26,3,3,0,7,13,9,3,32,15,17,4
33,146,21,55,27,28,2,0,2,5,16,9,3,33,16,17,4
34,146,20,55,27,28,0,0,0,3,17,8,3,34,16,18,4
35,145,19,56,28,28,1,1,0,3,16,9,4,36,16,20,4
36,144,18,57,28,29,1,0,1,2,16,10,3,38,17,21,4
37,142,19,59,29,30,2,1,1,4,15,10,3,39,17,22,4
38,141,18,60,30,30,1,1,0,3,15,9,4,41,18,23,4
39,137,21,64,32,32,4,2,2,7,14,8,4,42,19,23,4
40,135,21,66,33,33,2,1,1,6,15,9,3,44,21,23,4
41,135,20,66,33,33,0,0,0,5,15,8,3,45,22,23,4
42,132,23,69,34,35,3,1,2,6,17,10,4,45,22,23,4
43,132,18,69,34,35,0,0,0,4,14,7,3,49,23,26,5
44,131,18,71,34,37,2,0,2,5,13,5,5,51,25,26,5
45,127,21,75,35,40,4,1,3,9,12,6,5,52,25,27,5
46,125,22,77,36,41,2,1,1,6,16,7,4,53,25,28,5
47,121,26,81,38,43,4,2,2,8,18,7,4,53,25,28,5
48,119,26,83,40,43,2,2,0,8,18,8,6,55,26,29,5
49,116,29,86,40,46,3,0,3,8,21,10,6,55,26,29,5
50,114,28,88,41,47,2,1,1,8,20,9,6,58,28,30,5
51,110,30,92,44,48,4,3,1,9,21,10,6,59,28,31,6
52,107,31,95,45,50,3,1,2,9,22,12,4,61,28,33,7
53,106,31,97,46,51,2,1,1,9,22,12,5,63,30,33,7
54,106,30,97,46,51,0,0,0,5,25,13,6,64,31,33,8
55,105,32,99,48,51,2,2,0,5,27,15,6,64,31,33,8
56,102,30,102,49,53,3,1,2,6,24,15,5,69,32,37,9
57,102,30,103,49,54,1,0,1,6,24,15,6,70,32,38,9
58,101,29,104,49,55,1,0,1,4,25,15,6,72,32,40,9
59,99,28,106,49,57,2,0,2,3,25,14,5,75,34,41,9
60,96,29,109,49,60,3,0,3,6,23,15,5,77,34,43,9
61,95,25,109,49,60,0,0,0,5,20,15,4,80,36,44,11
62,95,24,111,50,61,2,1,1,2,22,13,3,83,37,46,11
63,93,24,113,51,62,2,1,1,4,20,12,3,85,38,47,11
64,90,24,116,52,64,3,1,2,7,17,13,4,88,39,49,11
65,89,23,117,53,64,1,1,0,7,16,12,3,90,41,49,11
66,87,23,119,54,65,2,1,1,6,17,11,2,92,41,51,11
67,85,24,121,55,66,2,1,1,7,17,11,2,93,42,51,12
68,84,23,123,57,66,2,2,0,5,18,10,3,96,43,53,12
69,82,22,125,59,66,2,2,0,5,17,8,3,99,45,54,12
70,82,22,125,59,66,0,0,0,3,19,12,3,99,45,54,12
71,80,23,127,60,67,2,1,1,4,19,13,3,100,45,55,12
72,76,21,131,62,69,4,2,2,8,13,9,3,105,45,60,13
73,77,21,131,62,69,0,0,0,6,15,10,3,105,45,60,13
74,77,21,131,62,69,0,0,0,3,18,10,3,105,45,60,13
75,77,20,131,62,69,0,0,0,1,19,11,3,106,45,61,13
76,76,19,132,62,70,1,0,1,1,18,12,3,108,47,61,13
