Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,596.42,3.21,2.87,2.87,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.37
1,596.56,3.21,2.87,0.0,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.6
2,596.44,3.21,2.87,0.0,2.42,0.79,0.0,0.0,0.0,0.0,0.0,0.95
3,596.35,3.41,3.07,0.2,1.39,2.02,0.0,0.0,0.0,0.0,0.0,1.19
4,595.87,3.82,3.48,0.41,0.61,3.21,0.46,0.33,0.0,0.0,0.0,1.5
5,595.21,4.5,4.16,0.68,1.22,3.28,1.27,0.75,0.0,0.0,0.0,1.79
6,594.51,5.22,4.88,0.72,1.73,3.49,1.97,1.24,0.0,0.0,0.0,2.06
7,593.71,5.98,5.64,0.76,2.07,3.91,2.02,1.26,0.0,0.0,0.0,2.37
8,593.17,6.62,6.28,0.64,2.16,4.46,2.17,1.32,0.0,0.0,0.0,2.58
9,592.24,7.47,7.13,0.85,2.31,5.16,2.49,1.42,0.0,0.0,0.0,2.87
10,591.29,8.47,8.14,1.01,2.53,5.94,2.88,1.57,0.0,0.0,0.0,3.11
11,590.34,9.33,9.02,0.88,2.64,6.69,3.36,1.77,0.0,0.0,0.0,3.44
12,589.26,9.64,10.17,1.15,2.95,6.69,3.41,1.68,0.79,0.0,0.79,3.75
13,588.08,9.54,11.32,1.15,3.21,6.33,3.16,1.46,2.02,0.0,2.02,4.11
14,587.25,9.24,12.23,0.91,3.19,6.05,3.08,1.15,3.21,0.0,3.21,4.41
15,586.59,9.85,12.96,0.73,2.81,7.04,3.62,1.38,3.27,0.0,3.27,4.7
16,585.54,10.59,13.97,1.01,2.82,7.77,4.03,1.63,3.46,0.15,3.31,5.11
17,584.56,11.28,15.09,1.12,2.9,8.38,4.54,1.8,3.83,0.41,3.42,5.44
18,583.42,11.85,16.25,1.16,3.15,8.7,4.73,2.02,4.37,0.72,3.65,5.8
19,582.13,12.36,17.48,1.23,3.62,8.74,4.94,2.13,5.03,1.14,3.89,6.28
20,581.04,12.86,18.74,1.26,3.76,9.1,4.97,2.25,5.77,1.57,4.2,6.61
21,579.63,13.61,20.2,1.46,4.01,9.6,5.0,2.27,6.46,1.89,4.57,6.91
22,578.05,14.37,21.76,1.56,4.44,9.93,5.14,2.45,7.22,2.28,4.94,7.27
