
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,590,9,9,9,9,0,0,0,0,0,0,1
1,591,9,9,0,9,0,0,0,0,0,0,1
2,591,9,9,0,5,4,0,0,0,0,0,1
3,590,9,9,0,1,8,0,0,0,0,0,2
4,591,9,9,0,0,9,3,1,0,0,0,2
5,590,9,9,0,0,9,5,3,0,0,0,3
6,588,12,12,3,3,9,6,3,0,0,0,3
7,586,14,14,2,5,9,6,3,0,0,0,3
8,584,16,16,2,6,10,6,3,0,0,0,3
9,583,17,17,1,4,13,6,3,0,0,0,3
10,580,19,19,2,5,14,7,3,0,0,0,4
11,578,22,22,3,6,16,10,3,0,0,0,4
12,573,22,27,5,8,14,7,2,4,0,4,5
13,569,21,31,4,11,10,6,0,8,0,8,7
14,571,20,31,0,10,10,7,1,9,0,9,7
15,569,22,33,2,7,15,8,1,9,0,9,7
16,567,23,34,1,5,18,8,2,9,0,9,8
17,567,23,35,1,3,20,10,4,9,0,9,9
18,567,24,36,1,2,22,12,5,9,0,9,9
19,563,25,39,3,4,21,13,5,11,1,10,10
20,558,30,45,6,10,20,14,5,12,2,10,10
21,555,32,48,3,12,20,14,5,13,3,10,10
22,553,30,49,1,12,18,12,4,16,5,11,11
23,552,31,51,2,9,22,11,5,17,6,11,11
24,549,33,54,3,7,26,11,5,18,6,12,11
25,547,30,56,2,7,23,13,3,23,8,15,11
26,546,28,57,1,5,23,16,2,26,10,16,11
27,543,28,60,3,5,23,14,3,29,10,19,11
28,535,34,68,8,13,21,13,5,31,10,21,11
29,534,33,68,0,12,21,14,6,32,10,22,12
30,534,34,69,1,9,25,14,6,32,10,22,12
31,530,36,72,3,6,30,15,5,33,10,23,13
32,526,40,77,5,9,31,19,4,34,11,23,13
33,521,40,82,5,13,27,18,6,39,15,24,13
34,519,37,84,2,12,25,14,7,44,17,27,13
35,518,36,85,1,8,28,14,6,46,17,29,13
36,515,35,88,3,8,27,14,5,49,17,32,14
37,513,35,91,3,7,28,15,6,52,18,34,14
38,510,38,94,3,10,28,17,7,52,18,34,14
39,506,41,98,4,11,30,20,7,52,18,34,15
40,501,43,104,6,14,29,16,7,56,19,37,15
41,499,39,106,2,12,27,15,5,62,23,39,15
42,495,38,109,3,6,32,15,5,64,24,40,18
43,494,42,113,4,9,33,17,7,64,24,40,18
44,493,40,114,1,7,33,19,10,66,25,41,19
45,487,42,121,7,10,32,17,8,71,28,43,19
46,485,41,123,2,10,31,16,9,74,28,46,19
47,484,38,124,1,8,30,14,11,78,30,48,19
48,481,41,127,3,9,32,15,12,78,30,48,19
49,474,45,134,7,12,33,15,12,81,31,50,19
50,471,45,137,3,12,33,15,11,84,33,51,19
51,467,46,141,4,13,33,17,10,87,33,54,19
52,462,43,146,5,12,31,15,7,95,37,58,19
53,458,45,149,3,12,33,16,8,96,38,58,20
54,455,46,153,4,12,34,19,8,99,39,60,20
55,449,47,159,6,13,34,18,7,103,40,63,21
56,450,45,159,0,10,35,20,7,105,40,65,21
57,447,45,162,3,10,35,20,9,108,40,68,22
58,444,46,166,4,8,38,19,10,110,41,69,23
59,440,48,171,5,10,38,20,9,113,42,71,23
60,436,49,175,4,14,35,22,10,116,44,72,23
61,432,50,179,4,13,37,20,12,119,45,74,23
62,426,51,185,6,13,38,17,10,124,48,76,23
63,423,51,188,3,11,40,20,9,127,49,78,24
64,422,49,190,2,9,40,21,10,131,50,81,24
65,422,44,190,0,5,39,21,10,136,52,84,24
66,418,45,194,4,5,40,22,10,139,53,86,24
67,412,48,200,6,11,37,23,10,142,53,89,24
68,409,44,203,3,11,33,19,11,148,56,92,25
69,406,45,207,4,15,30,19,8,151,56,95,25
70,402,49,211,4,12,37,20,10,151,56,95,25
71,399,46,214,3,10,36,14,10,156,59,97,26
72,394,46,220,6,15,31,16,9,162,62,100,26
73,390,45,224,4,14,31,17,8,167,66,101,26
74,388,43,226,2,11,32,14,8,171,68,103,26
75,385,44,229,3,10,34,14,11,173,69,104,26
76,382,43,232,3,9,34,17,9,177,70,107,26
77,378,46,235,3,9,37,20,10,177,70,107,27
78,373,49,241,6,12,37,21,10,180,71,109,27
79,369,53,245,4,13,40,24,10,180,71,109,27
80,365,49,249,4,15,34,20,9,187,73,114,28
81,361,48,254,5,15,33,18,8,192,75,117,29
82,360,48,255,1,8,40,20,7,193,76,117,30
83,357,48,259,4,11,37,22,6,197,79,118,30
84,355,46,261,2,10,36,25,7,201,81,120,30
85,353,44,263,2,7,37,23,6,205,83,122,30
86,352,40,264,1,4,36,22,5,209,85,124,31
87,351,39,266,2,6,33,22,7,212,86,126,31
88,348,38,269,3,5,33,23,6,215,87,128,33
89,348,38,271,2,7,31,21,6,217,88,129,33
90,347,37,272,1,8,29,22,7,219,89,130,33
91,344,34,274,2,5,29,19,5,224,90,134,34
92,340,31,279,5,7,24,12,4,232,96,136,34
