
Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,198,2,3,0,3,3,0,3,2,0,0,0,0,0,0,0
1,197,3,3,0,3,0,0,0,3,0,0,0,0,0,0,0
2,198,2,3,0,3,0,0,0,2,0,0,0,0,0,0,0
3,198,2,3,0,3,0,0,0,2,0,0,0,0,0,0,0
4,198,2,3,0,3,0,0,0,0,2,0,0,0,0,0,0
5,197,3,4,1,3,1,1,0,1,2,0,0,0,0,0,0
6,196,4,5,2,3,1,1,0,2,2,0,2,0,0,0,0
7,196,4,5,2,3,0,0,0,2,2,0,2,0,0,0,0
8,193,7,7,3,4,2,1,1,3,4,0,3,0,0,0,0
9,193,7,8,3,5,1,0,1,3,4,0,2,0,0,0,0
10,192,8,8,3,5,0,0,0,2,6,0,4,0,0,0,0
11,191,9,9,3,6,1,0,1,2,7,0,5,0,0,0,0
12,187,12,13,6,7,4,3,1,5,7,1,4,1,0,1,0
13,186,13,14,7,7,1,1,0,6,7,1,5,1,0,1,0
14,184,13,16,8,8,2,1,1,4,9,2,3,3,0,3,0
15,183,14,17,8,9,1,0,1,4,10,2,3,3,0,3,0
16,181,15,18,8,10,1,0,1,3,12,4,5,3,0,3,1
17,179,18,21,10,11,3,2,1,5,13,5,5,3,0,3,1
18,178,18,22,10,12,1,0,1,4,14,7,4,4,1,3,1
19,177,18,23,11,12,1,1,0,4,14,8,3,5,2,3,1
20,172,22,28,14,14,5,3,2,8,14,8,4,6,2,4,1
21,169,24,31,14,17,3,0,3,8,16,9,3,7,2,5,1
22,167,25,33,15,18,2,1,1,9,16,9,3,8,3,5,1
23,167,25,33,15,18,0,0,0,3,22,10,5,8,3,5,1
24,165,23,35,16,19,2,1,1,4,19,8,4,12,6,6,1
25,163,24,37,17,20,2,1,1,4,20,11,6,13,6,7,1
26,159,26,41,18,23,4,1,3,7,19,10,6,15,7,8,1
27,156,28,44,19,25,3,1,2,9,19,9,8,16,8,8,1
28,156,26,44,19,25,0,0,0,7,19,8,8,18,8,10,1
29,154,27,46,19,27,2,0,2,5,22,8,8,19,9,10,1
30,151,29,49,20,29,3,1,2,6,23,7,10,20,10,10,1
31,148,29,52,21,31,3,1,2,7,22,8,10,23,11,12,2
32,146,31,55,23,32,3,2,1,7,24,10,9,24,11,13,2
33,142,29,59,25,34,4,2,2,11,18,6,9,30,14,16,2
34,138,32,63,27,36,4,2,2,12,20,6,11,31,15,16,2
