
Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,194,6,6,0,6,6,0,6,6,0,0,0,0,0,0,0
1,193,6,6,0,6,0,0,0,6,0,0,0,0,0,0,1
2,194,6,6,0,6,0,0,0,5,1,0,0,0,0,0,1
3,193,7,7,1,6,1,1,0,2,5,0,0,0,0,0,1
4,192,8,8,1,7,1,0,1,2,6,1,0,0,0,0,1
5,191,9,9,2,7,1,1,0,3,6,2,3,0,0,0,1
6,190,10,10,3,7,1,1,0,3,7,2,4,0,0,0,1
7,189,11,11,4,7,1,1,0,2,9,2,4,0,0,0,1
8,188,12,12,4,8,1,0,1,2,10,3,4,0,0,0,1
9,186,14,14,5,9,2,1,1,4,10,4,5,0,0,0,1
10,186,14,14,5,9,0,0,0,3,11,5,5,0,0,0,1
11,185,15,15,6,9,1,1,0,3,12,5,5,0,0,0,1
12,185,14,15,6,9,0,0,0,3,11,5,5,1,0,1,1
13,182,13,18,7,11,3,1,2,4,9,4,3,5,0,5,1
14,182,12,18,7,11,0,0,0,3,9,4,2,6,0,6,1
15,180,14,20,8,12,2,1,1,2,12,5,3,6,0,6,1
16,177,16,23,9,14,3,1,2,5,11,5,3,7,0,7,1
17,176,15,24,9,15,1,0,1,6,9,6,3,9,2,7,1
18,176,14,24,9,15,0,0,0,2,12,5,3,10,3,7,1
19,175,15,25,9,16,1,0,1,2,13,5,3,10,3,7,1
20,174,15,26,10,16,1,1,0,2,13,7,4,11,3,8,1
21,174,14,26,10,16,0,0,0,2,12,8,3,12,4,8,1
22,174,14,26,10,16,0,0,0,2,12,9,3,12,4,8,1
23,171,15,29,12,17,3,2,1,3,12,8,2,14,5,9,1
24,165,20,35,14,21,6,2,4,9,11,7,2,15,6,9,1
25,164,18,36,14,22,1,0,1,9,9,6,2,18,7,11,1
26,164,18,36,14,22,0,0,0,6,12,6,2,18,7,11,1
27,161,19,37,14,23,1,0,1,4,15,7,2,18,7,11,3
28,160,18,40,14,26,3,0,3,4,14,6,2,22,9,13,3
29,157,20,43,15,28,3,1,2,7,13,8,2,23,9,14,3
30,156,20,44,16,28,1,1,0,6,14,8,4,24,9,15,3
31,154,22,46,18,28,2,2,0,6,16,8,4,24,9,15,3
32,153,23,47,19,28,1,1,0,4,19,10,4,24,9,15,3
33,151,22,49,21,28,2,2,0,3,19,10,3,26,10,16,4
34,151,23,50,21,29,1,0,1,3,20,11,5,26,10,16,4
35,150,23,51,22,29,1,1,0,4,19,13,5,27,10,17,4
36,149,21,52,23,29,1,1,0,5,16,11,5,30,12,18,4
37,148,20,53,23,30,1,0,1,4,16,9,5,32,13,19,4
38,148,17,53,23,30,0,0,0,1,16,8,3,35,13,22,4
39,147,18,54,24,30,1,1,0,2,16,10,3,35,13,22,4
40,147,16,54,24,30,0,0,0,2,14,11,3,37,13,24,4
41,146,15,55,24,31,1,0,1,2,13,9,3,39,13,26,4
42,146,12,55,24,31,0,0,0,2,10,8,1,42,14,28,4
43,145,10,56,24,32,1,0,1,2,8,5,2,45,17,28,4
44,143,11,58,25,33,2,1,1,3,8,5,1,46,18,28,4
45,142,12,59,26,33,1,1,0,4,8,6,1,46,18,28,4
46,140,14,61,26,35,2,0,2,5,9,6,2,46,18,28,4
47,138,14,63,26,37,2,0,2,5,9,4,2,48,20,28,4
48,138,11,63,26,37,0,0,0,4,7,2,2,51,22,29,4
49,136,13,65,28,37,2,2,0,4,9,2,4,51,22,29,4
50,133,16,68,29,39,3,1,2,5,11,3,4,51,22,29,4
51,133,15,68,29,39,0,0,0,4,11,3,5,52,22,30,4
52,131,16,69,30,39,1,1,0,4,12,4,6,52,22,30,5
53,132,15,69,30,39,0,0,0,1,14,4,6,53,23,30,5
54,131,15,70,30,40,1,0,1,2,13,4,6,54,23,31,5
55,128,16,72,31,41,2,1,1,3,13,6,6,54,23,31,7
56,129,16,73,31,42,1,0,1,3,13,5,6,55,23,32,7
57,127,16,75,32,43,2,1,1,5,11,5,5,57,24,33,7
58,127,16,75,32,43,0,0,0,4,12,5,6,57,24,33,7
59,127,14,75,32,43,0,0,0,2,12,5,4,59,24,35,7
60,124,15,78,32,46,3,0,3,3,12,4,4,61,24,37,7
61,122,16,80,32,48,2,0,2,5,11,5,4,62,25,37,7
62,120,17,82,33,49,2,1,1,5,12,6,4,63,26,37,7
63,120,14,82,33,49,0,0,0,3,11,3,4,66,27,39,7
64,119,15,83,34,49,1,1,0,4,11,4,5,66,27,39,7
65,117,16,85,35,50,2,1,1,5,11,5,5,67,28,39,7
66,116,16,86,35,51,1,0,1,4,12,5,4,68,28,40,7
67,114,18,88,36,52,2,1,1,5,13,5,5,68,28,40,7
68,112,19,90,37,53,2,1,1,5,14,5,6,69,28,41,7
69,111,18,91,37,54,1,0,1,5,13,4,6,71,29,42,7
70,110,17,92,38,54,1,1,0,3,14,5,5,73,30,43,7
71,107,20,95,40,55,3,2,1,4,16,6,5,73,30,43,7
72,103,22,99,42,57,4,2,2,8,14,7,5,75,30,45,7
73,102,21,100,43,57,1,1,0,8,13,8,4,77,30,47,7
74,100,23,102,44,58,2,1,1,6,17,8,4,77,30,47,7
75,100,22,102,44,58,0,0,0,4,18,9,3,78,30,48,7
76,97,23,105,45,60,3,1,2,5,18,13,1,80,31,49,7
77,96,23,106,45,61,1,0,1,4,19,13,2,81,32,49,7
78,94,23,108,47,61,2,2,0,5,18,12,3,83,32,51,7
79,93,23,109,48,61,1,1,0,5,18,13,3,84,33,51,7
80,92,21,110,48,62,1,0,1,5,16,12,2,87,34,53,7
81,90,20,111,48,63,1,0,1,3,17,11,2,89,35,54,8
82,90,20,112,48,64,1,0,1,3,17,11,2,89,35,54,9
83,91,19,112,48,64,0,0,0,3,16,11,4,90,36,54,9
84,90,16,113,48,65,1,0,1,1,15,8,4,93,37,56,10
85,91,14,113,48,65,0,0,0,1,13,7,3,95,39,56,10
86,91,12,113,48,65,0,0,0,1,11,8,3,97,39,58,10
87,91,10,113,48,65,0,0,0,0,10,6,3,99,41,58,10
88,91,10,113,48,65,0,0,0,0,10,6,3,99,41,58,10
89,91,9,113,48,65,0,0,0,0,9,5,4,100,41,59,10
90,89,10,115,49,66,2,1,1,2,8,4,4,101,41,60,10
91,87,9,117,51,66,2,2,0,4,5,3,2,104,43,61,10
92,87,8,117,51,66,0,0,0,3,5,2,2,105,44,61,10
93,86,9,118,52,66,1,1,0,2,7,2,2,105,44,61,10
94,85,7,119,53,66,1,1,0,2,5,1,1,108,44,64,10
95,84,8,120,53,67,1,0,1,3,5,3,1,108,44,64,11
96,83,10,122,54,68,2,1,1,4,6,3,2,108,44,64,11
97,82,10,123,55,68,1,1,0,4,6,3,1,109,44,65,11
98,82,10,123,55,68,0,0,0,3,7,4,1,109,44,65,11
99,81,10,124,55,69,1,0,1,3,7,4,1,109,44,65,12
100,82,10,124,55,69,0,0,0,2,8,4,2,109,44,65,12
101,82,10,124,55,69,0,0,0,0,10,4,3,109,44,65,12
102,81,9,124,55,69,0,0,0,0,9,4,3,110,44,66,13
103,82,8,124,55,69,0,0,0,0,8,5,3,111,45,66,13
104,82,7,124,55,69,0,0,0,0,7,5,2,112,46,66,13
105,82,7,124,55,69,0,0,0,0,7,5,2,112,46,66,13
106,82,6,124,55,69,0,0,0,0,6,4,2,113,47,66,13
107,81,6,125,56,69,1,1,0,1,5,3,2,114,48,66,13
108,81,5,125,56,69,0,0,0,1,4,3,1,115,48,67,13
109,81,4,125,56,69,0,0,0,1,3,3,0,116,48,68,13
110,81,3,125,56,69,0,0,0,1,2,2,0,117,49,68,13
111,80,2,126,56,70,1,0,1,1,1,0,0,119,50,69,13
112,80,1,126,56,70,0,0,0,1,0,0,0,119,50,69,14
113,81,1,126,56,70,0,0,0,0,1,0,0,119,50,69,14
114,81,1,126,56,70,0,0,0,0,1,0,0,119,50,69,14
115,80,2,127,56,71,1,0,1,1,1,0,1,119,50,69,14
116,80,2,127,56,71,0,0,0,1,1,0,1,119,50,69,14
117,80,2,127,56,71,0,0,0,1,1,0,1,119,50,69,14
118,80,2,127,56,71,0,0,0,0,2,0,1,119,50,69,14
119,79,2,127,56,71,0,0,0,0,2,0,1,119,50,69,15
120,80,2,127,56,71,0,0,0,0,2,1,1,119,50,69,15
121,80,2,127,56,71,0,0,0,0,2,1,1,119,50,69,15
122,80,2,127,56,71,0,0,0,0,2,1,1,119,50,69,15
123,80,1,127,56,71,0,0,0,0,1,1,0,120,50,70,15
124,80,1,127,56,71,0,0,0,0,1,1,0,120,50,70,15
125,80,1,127,56,71,0,0,0,0,1,1,0,120,50,70,15
126,80,1,127,56,71,0,0,0,0,1,1,0,120,50,70,15
127,80,1,127,56,71,0,0,0,0,1,1,0,120,50,70,15
128,79,0,127,56,71,0,0,0,0,0,0,0,121,50,71,16
129,80,0,127,56,71,0,0,0,0,0,0,0,121,50,71,16
130,80,0,127,56,71,0,0,0,0,0,0,0,121,50,71,16
131,80,0,127,56,71,0,0,0,0,0,0,0,121,50,71,16
132,80,0,127,56,71,0,0,0,0,0,0,0,121,50,71,16
133,80,0,127,56,71,0,0,0,0,0,0,0,121,50,71,16
134,80,0,127,56,71,0,0,0,0,0,0,0,121,50,71,16
135,80,0,127,56,71,0,0,0,0,0,0,0,121,50,71,16
136,80,0,127,56,71,0,0,0,0,0,0,0,121,50,71,18
137,82,0,127,56,71,0,0,0,0,0,0,0,121,50,71,18
138,82,0,127,56,71,0,0,0,0,0,0,0,121,50,71,18
139,82,0,127,56,71,0,0,0,0,0,0,0,121,50,71,18
140,82,0,127,56,71,0,0,0,0,0,0,0,121,50,71,18
141,82,0,127,56,71,0,0,0,0,0,0,0,121,50,71,18
142,82,0,127,56,71,0,0,0,0,0,0,0,121,50,71,18
143,82,0,127,56,71,0,0,0,0,0,0,0,121,50,71,18
144,82,0,127,56,71,0,0,0,0,0,0,0,121,50,71,18
145,82,0,127,56,71,0,0,0,0,0,0,0,121,50,71,18
146,82,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
147,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
148,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
149,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
150,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
151,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
152,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
153,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
154,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
155,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
156,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
157,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
158,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
159,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
160,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
161,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
162,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
163,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
164,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
165,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
166,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
167,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
168,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
169,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,19
170,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,20
171,84,0,127,56,71,0,0,0,0,0,0,0,121,50,71,20
172,84,0,127,56,71,0,0,0,0,0,0,0,121,50,71,20
173,84,0,127,56,71,0,0,0,0,0,0,0,121,50,71,20
174,84,0,127,56,71,0,0,0,0,0,0,0,121,50,71,20
175,84,0,127,56,71,0,0,0,0,0,0,0,121,50,71,20
176,83,0,127,56,71,0,0,0,0,0,0,0,121,50,71,21
177,84,0,127,56,71,0,0,0,0,0,0,0,121,50,71,21
178,84,0,127,56,71,0,0,0,0,0,0,0,121,50,71,21
179,84,0,127,56,71,0,0,0,0,0,0,0,121,50,71,21
