
Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,199,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,199,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,199,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,198,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,199,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
7,199,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
8,199,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
9,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,198,2,1,1,0,1,1,0,1,1,1,0,0,0,0,1
11,196,4,3,3,0,2,2,0,3,1,1,0,0,0,0,1
12,196,3,3,3,0,0,0,0,2,1,0,0,0,0,0,2
13,196,3,3,3,0,0,0,0,2,1,0,0,1,0,1,2
14,196,3,3,3,0,0,0,0,0,3,1,0,1,0,1,2
15,194,5,5,3,2,2,0,2,2,3,1,0,1,0,1,2
16,195,5,5,3,2,0,0,0,2,3,3,0,1,0,1,2
17,194,5,5,3,2,0,0,0,1,4,3,0,1,0,1,2
18,193,6,6,3,3,1,0,1,2,4,3,0,1,0,1,2
19,193,6,6,3,3,0,0,0,1,5,4,0,1,0,1,2
20,192,7,7,3,4,1,0,1,2,5,4,0,1,0,1,2
21,191,8,8,4,4,1,1,0,3,5,5,0,1,0,1,2
22,189,8,9,4,5,1,0,1,3,5,4,0,2,1,1,3
23,189,9,10,4,6,1,0,1,3,6,4,0,2,1,1,3
24,189,7,10,4,6,0,0,0,2,5,3,0,4,3,1,3
25,187,9,12,5,7,2,1,1,4,5,3,1,4,3,1,3
26,185,11,14,5,9,2,0,2,5,6,3,2,4,3,1,3
27,184,11,15,5,10,1,0,1,5,6,2,2,5,3,2,3
28,183,12,16,6,10,1,1,0,4,8,3,2,5,3,2,3
29,182,12,17,6,11,1,0,1,4,8,3,2,6,3,3,3
30,182,12,17,6,11,0,0,0,2,10,3,4,6,3,3,3
31,182,12,17,6,11,0,0,0,0,12,4,4,6,3,3,3
32,179,14,20,8,12,3,2,1,3,11,5,4,7,3,4,3
33,179,13,20,8,12,0,0,0,3,10,6,4,8,3,5,3
34,178,13,21,9,12,1,1,0,3,10,6,3,9,4,5,3
35,178,13,21,9,12,0,0,0,3,10,6,3,9,4,5,3
36,174,16,25,11,14,4,2,2,4,12,6,3,10,4,6,3
37,171,18,28,11,17,3,0,3,7,11,5,3,11,4,7,3
38,170,17,29,12,17,1,1,0,7,10,8,1,13,5,8,3
39,170,16,29,12,17,0,0,0,6,10,7,1,14,5,9,3
40,169,14,30,12,18,1,0,1,3,11,5,1,16,5,11,4
41,170,12,30,12,18,0,0,0,1,11,5,0,18,6,12,4
42,169,13,31,13,18,1,1,0,2,11,7,2,18,6,12,4
43,169,13,31,13,18,0,0,0,2,11,7,4,18,6,12,4
44,168,13,32,13,19,1,0,1,2,11,6,4,19,6,13,4
45,165,16,35,14,21,3,1,2,5,11,6,4,19,6,13,4
46,163,16,37,15,22,2,1,1,6,10,5,4,21,8,13,4
47,162,17,38,16,22,1,1,0,5,12,5,4,21,8,13,4
48,161,17,39,16,23,1,0,1,3,14,5,4,22,8,14,4
49,159,18,41,17,24,2,1,1,4,14,5,5,23,9,14,4
50,155,18,45,19,26,4,2,2,7,11,6,3,27,10,17,4
51,154,17,46,19,27,1,0,1,6,11,6,2,29,11,18,4
52,154,17,46,19,27,0,0,0,5,12,7,2,29,11,18,4
53,154,17,46,19,27,0,0,0,1,16,9,2,29,11,18,4
54,152,18,48,20,28,2,1,1,3,15,9,2,30,11,19,4
55,150,20,50,22,28,2,2,0,4,16,13,2,30,11,19,4
56,149,20,51,22,29,1,0,1,4,16,12,2,31,12,19,4
57,149,18,51,22,29,0,0,0,3,15,12,1,33,13,20,4
58,148,16,52,23,29,1,1,0,3,13,10,1,36,13,23,4
59,147,15,53,24,29,1,1,0,2,13,10,0,37,14,23,5
60,145,17,56,26,30,3,2,1,5,12,9,1,38,15,23,5
61,145,15,56,26,30,0,0,0,5,10,9,1,40,16,24,5
62,145,14,56,26,30,0,0,0,3,11,8,1,41,17,24,5
63,145,9,56,26,30,0,0,0,0,9,3,1,45,18,27,6
64,145,10,57,26,31,1,0,1,1,9,4,2,45,18,27,6
65,145,9,57,26,31,0,0,0,1,8,5,3,46,18,28,6
66,144,10,58,26,32,1,0,1,2,8,5,3,46,18,28,6
67,141,12,61,27,34,3,1,2,5,7,4,3,47,19,28,6
68,140,11,61,27,34,0,0,0,4,7,4,2,48,19,29,7
69,141,10,61,27,34,0,0,0,2,8,3,2,49,19,30,7
70,141,10,61,27,34,0,0,0,1,9,4,2,49,19,30,7
71,140,11,62,28,34,1,1,0,1,10,6,2,49,19,30,7
72,140,9,62,28,34,0,0,0,1,8,6,1,51,21,30,7
73,140,6,62,28,34,0,0,0,0,6,5,0,54,23,31,7
74,140,6,62,28,34,0,0,0,0,6,5,0,54,23,31,7
75,140,6,62,28,34,0,0,0,0,6,6,0,54,23,31,7
76,138,8,64,28,36,2,0,2,2,6,6,0,54,23,31,7
77,137,8,64,28,36,0,0,0,2,6,6,0,54,23,31,8
78,138,7,64,28,36,0,0,0,1,6,5,0,55,23,32,8
79,138,5,64,28,36,0,0,0,0,5,3,0,57,23,34,8
80,137,5,65,29,36,1,1,0,1,4,3,0,58,23,35,8
81,136,5,66,29,37,1,0,1,2,3,3,0,59,24,35,8
82,136,5,66,29,37,0,0,0,2,3,3,0,59,24,35,8
83,136,4,66,29,37,0,0,0,1,3,2,0,60,25,35,8
84,134,5,67,30,37,1,1,0,1,4,2,0,60,25,35,9
85,135,5,67,30,37,0,0,0,1,4,2,1,60,25,35,9
86,134,6,68,30,38,1,0,1,2,4,2,2,60,25,35,9
87,131,8,70,32,38,2,2,0,4,4,2,2,60,25,35,10
88,132,6,70,32,38,0,0,0,2,4,1,2,61,25,36,11
89,133,5,70,32,38,0,0,0,2,3,0,2,62,25,37,11
90,133,5,70,32,38,0,0,0,0,5,0,3,62,25,37,11
91,133,5,70,32,38,0,0,0,0,5,0,3,62,25,37,11
92,132,6,71,32,39,1,0,1,1,5,2,3,62,25,37,11
93,132,5,71,32,39,0,0,0,1,4,2,2,63,26,37,11
94,132,4,71,32,39,0,0,0,1,3,2,1,64,26,38,11
95,131,5,72,32,40,1,0,1,2,3,2,1,64,26,38,11
96,131,5,72,32,40,0,0,0,1,4,2,1,64,26,38,11
97,131,5,72,32,40,0,0,0,1,4,2,1,64,26,38,11
98,129,6,74,32,42,2,0,2,2,4,3,0,65,27,38,11
99,127,8,76,32,44,2,0,2,4,4,3,0,65,27,38,11
100,127,6,76,32,44,0,0,0,3,3,2,0,67,28,39,11
101,126,6,76,32,44,0,0,0,2,4,2,0,67,28,39,12
102,127,6,76,32,44,0,0,0,1,5,2,1,67,28,39,12
103,127,6,76,32,44,0,0,0,0,6,3,1,67,28,39,12
104,126,7,77,33,44,1,1,0,1,6,3,2,67,28,39,12
105,126,7,77,33,44,0,0,0,1,6,4,2,67,28,39,12
106,126,6,77,33,44,0,0,0,1,5,3,2,68,28,40,12
107,126,6,77,33,44,0,0,0,1,5,3,2,68,28,40,12
108,126,5,77,33,44,0,0,0,0,5,2,2,69,28,41,12
109,126,5,77,33,44,0,0,0,0,5,2,2,69,28,41,12
110,125,4,77,33,44,0,0,0,0,4,3,1,70,28,42,14
111,127,3,77,33,44,0,0,0,0,3,2,1,71,28,43,14
112,127,2,77,33,44,0,0,0,0,2,2,0,72,28,44,14
113,127,1,77,33,44,0,0,0,0,1,1,0,73,28,45,14
114,127,1,77,33,44,0,0,0,0,1,1,0,73,28,45,14
115,127,1,77,33,44,0,0,0,0,1,1,0,73,28,45,14
116,126,1,77,33,44,0,0,0,0,1,1,0,73,28,45,15
