
Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,193,7,6,0,6,6,0,6,7,0,0,0,0,0,0,0
1,193,7,6,0,6,0,0,0,7,0,0,0,0,0,0,0
2,194,6,6,0,6,0,0,0,5,1,0,0,0,0,0,0
3,193,7,6,0,6,0,0,0,2,5,0,0,0,0,0,0
4,192,8,7,1,6,1,1,0,1,7,0,1,0,0,0,0
5,190,10,9,2,7,2,1,1,3,7,3,2,0,0,0,0
6,188,12,11,3,8,2,1,1,5,7,4,3,0,0,0,0
7,187,13,12,3,9,1,0,1,4,9,4,3,0,0,0,0
8,184,16,15,4,11,3,1,2,7,9,4,3,0,0,0,0
9,184,16,15,4,11,0,0,0,4,12,4,5,0,0,0,0
10,183,17,16,5,11,1,1,0,4,13,4,5,0,0,0,0
11,178,22,21,8,13,5,3,2,8,14,5,7,0,0,0,0
12,175,24,24,9,15,3,1,2,9,15,5,7,1,0,1,0
13,172,23,27,11,16,3,2,1,11,12,2,7,5,0,5,0
14,171,22,28,11,17,1,0,1,9,13,3,6,7,0,7,0
15,170,23,29,12,17,1,1,0,6,17,4,6,7,0,7,0
16,170,23,29,12,17,0,0,0,2,21,6,7,7,0,7,0
17,166,24,33,14,19,4,2,2,5,19,8,6,9,2,7,1
18,163,27,37,17,20,4,3,1,7,20,9,9,9,2,7,2
19,161,26,40,18,22,3,1,2,9,17,8,7,12,3,9,3
20,161,25,41,18,23,1,0,1,8,17,8,6,13,3,10,4
21,158,28,45,20,25,4,2,2,7,21,9,5,14,3,11,4
22,153,32,50,22,28,5,2,3,10,22,8,7,15,3,12,4
23,152,32,51,22,29,1,0,1,7,25,10,9,16,3,13,4
24,147,34,56,24,32,5,2,3,12,22,10,8,19,5,14,4
25,146,33,57,24,33,1,0,1,8,25,11,9,21,6,15,4
26,143,32,60,25,35,3,1,2,8,24,10,6,25,7,18,4
27,138,35,64,28,36,4,3,1,10,25,12,8,26,8,18,5
28,136,37,67,29,38,3,1,2,11,26,13,9,27,9,18,5
29,134,38,69,31,38,2,2,0,9,29,14,9,28,9,19,5
30,133,36,70,31,39,1,0,1,7,29,15,7,30,10,20,6
31,132,33,72,32,40,2,1,1,6,27,15,6,35,13,22,6
32,130,33,74,33,41,2,1,1,5,28,16,6,37,14,23,6
33,124,35,80,36,44,6,3,3,9,26,16,5,41,15,26,6
34,121,38,83,38,45,3,2,1,12,26,19,5,41,15,26,6
35,121,33,83,38,45,0,0,0,7,26,19,3,45,17,28,7
36,120,32,85,39,46,2,1,1,6,26,17,2,48,17,31,7
37,117,32,88,39,49,3,0,3,6,26,17,3,50,17,33,8
38,115,33,91,42,49,3,3,0,6,27,17,4,52,19,33,8
39,113,31,93,43,50,2,1,1,6,25,17,3,56,19,37,8
40,109,32,97,45,52,4,2,2,10,22,15,5,59,21,38,8
41,107,31,99,46,53,2,1,1,9,22,15,4,62,24,38,8
42,107,28,99,46,53,0,0,0,6,22,12,4,65,25,40,8
43,104,30,102,48,54,3,2,1,6,24,14,4,66,25,41,8
44,101,33,105,48,57,3,0,3,7,26,16,5,66,25,41,8
45,100,29,105,48,57,0,0,0,5,24,15,5,70,27,43,9
46,99,28,107,48,59,2,0,2,6,22,15,4,73,28,45,9
47,96,28,110,50,60,3,2,1,6,22,12,6,76,30,46,9
48,95,26,111,51,60,1,1,0,5,21,12,4,79,32,47,9
49,94,25,112,52,60,1,1,0,5,20,12,5,81,32,49,9
50,94,25,112,52,60,0,0,0,3,22,13,6,81,32,49,9
51,93,23,113,53,60,1,1,0,2,21,11,6,84,33,51,9
52,92,21,114,54,60,1,1,0,3,18,10,6,87,35,52,9
53,90,20,116,55,61,2,1,1,4,16,10,5,90,37,53,9
54,90,18,116,55,61,0,0,0,2,16,8,5,92,39,53,9
55,89,17,117,55,62,1,0,1,3,14,9,3,94,39,55,9
56,88,16,118,55,63,1,0,1,2,14,8,4,95,40,55,10
57,88,15,119,55,64,1,0,1,3,12,7,3,97,40,57,10
58,87,14,120,55,65,1,0,1,2,12,7,3,99,40,59,10
59,86,14,121,55,66,1,0,1,3,11,6,3,100,40,60,10
60,84,13,122,56,66,1,1,0,4,9,6,3,102,41,61,11
61,85,11,122,56,66,0,0,0,3,8,4,3,104,43,61,11
62,85,11,122,56,66,0,0,0,1,10,4,3,104,43,61,11
63,84,11,123,57,66,1,1,0,1,10,4,3,105,44,61,11
64,83,10,124,57,67,1,0,1,2,8,4,3,107,46,61,11
65,81,12,126,59,67,2,2,0,3,9,5,3,107,46,61,11
66,80,11,127,60,67,1,1,0,4,7,4,2,109,47,62,11
67,79,12,128,61,67,1,1,0,3,9,5,2,109,47,62,11
68,79,10,128,61,67,0,0,0,2,8,4,1,111,47,64,11
69,77,12,130,62,68,2,1,1,4,8,5,2,111,47,64,11
70,75,14,132,63,69,2,1,1,5,9,6,2,111,47,64,12
71,75,14,133,63,70,1,0,1,4,10,5,2,112,47,65,12
72,75,12,133,63,70,0,0,0,2,10,5,1,114,47,67,12
73,75,11,133,63,70,0,0,0,1,10,5,2,115,48,67,12
74,75,10,133,63,70,0,0,0,0,10,6,2,115,48,67,13
75,74,12,135,65,70,2,2,0,2,10,7,2,115,48,67,13
76,73,13,136,65,71,1,0,1,3,10,8,2,115,48,67,13
77,73,10,136,65,71,0,0,0,2,8,6,1,117,49,68,14
78,74,10,136,65,71,0,0,0,1,9,6,1,117,49,68,14
79,74,10,136,65,71,0,0,0,1,9,6,2,117,49,68,14
80,74,9,136,65,71,0,0,0,0,9,6,2,118,50,68,14
81,74,7,136,65,71,0,0,0,0,7,5,1,120,52,68,14
82,74,5,136,65,71,0,0,0,0,5,4,1,122,53,69,14
83,74,4,136,65,71,0,0,0,0,4,3,1,123,53,70,14
84,74,3,136,65,71,0,0,0,0,3,2,1,124,53,71,14
85,74,3,136,65,71,0,0,0,0,3,2,1,124,53,71,14
86,74,3,136,65,71,0,0,0,0,3,2,1,124,53,71,14
87,73,3,137,66,71,1,1,0,1,2,2,0,125,54,71,14
88,73,2,137,66,71,0,0,0,1,1,1,0,126,55,71,14
89,73,2,137,66,71,0,0,0,1,1,1,0,126,55,71,14
