
Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,195,5,6,0,6,6,0,6,5,0,0,0,0,0,0,0
1,196,4,6,0,6,0,0,0,4,0,0,0,0,0,0,0
2,195,5,6,0,6,0,0,0,3,2,0,0,0,0,0,0
3,197,3,6,0,6,0,0,0,0,3,0,0,0,0,0,0
4,196,4,7,0,7,1,0,1,1,3,1,0,0,0,0,0
5,194,6,8,0,8,1,0,1,2,4,2,1,0,0,0,0
6,193,7,9,0,9,1,0,1,3,4,3,1,0,0,0,0
7,191,9,10,1,9,1,1,0,3,6,4,1,0,0,0,0
8,191,9,12,1,11,2,0,2,3,6,3,1,0,0,0,0
9,186,14,15,4,11,3,3,0,7,7,4,2,0,0,0,0
10,188,12,15,4,11,0,0,0,6,6,3,2,0,0,0,0
11,189,11,16,5,11,1,1,0,4,7,4,1,0,0,0,0
12,186,11,17,6,11,1,1,0,3,8,3,2,2,0,2,1
13,187,10,17,6,11,0,0,0,2,8,4,2,3,0,3,1
14,184,11,18,6,12,1,0,1,1,10,3,4,4,0,4,1
15,185,11,20,6,14,2,0,2,2,9,4,3,4,0,4,1
16,179,16,23,8,15,3,2,1,6,10,5,5,4,0,4,1
17,179,17,25,8,17,2,0,2,7,10,5,4,5,0,5,1
18,183,12,26,8,18,1,0,1,4,8,4,2,6,0,6,1
19,174,20,32,10,22,6,2,4,8,12,4,4,6,0,6,1
20,172,22,35,12,23,3,2,1,9,13,5,4,7,0,7,1
21,171,21,36,12,24,1,0,1,9,12,5,5,9,1,8,1
22,170,21,37,13,24,1,1,0,7,14,6,4,10,2,8,1
23,169,21,38,13,25,1,0,1,4,17,5,5,11,3,8,1
24,163,25,44,14,30,6,1,5,8,17,6,5,13,5,8,1
25,163,25,44,14,30,0,0,0,7,18,8,7,13,5,8,1
26,161,27,46,16,30,2,2,0,6,21,10,7,13,5,8,1
27,157,30,50,17,33,4,1,3,9,21,11,6,14,5,9,1
28,157,28,50,17,33,0,0,0,6,22,13,5,16,6,10,1
29,152,30,55,19,36,5,2,3,10,20,11,5,19,7,12,1
30,149,32,58,20,38,3,1,2,11,21,12,6,20,7,13,1
31,147,33,60,22,38,2,2,0,9,24,13,5,21,7,14,1
32,144,33,63,23,40,3,1,2,9,24,12,5,24,7,17,1
33,139,34,68,26,42,5,3,2,9,25,13,4,28,10,18,1
34,137,34,70,28,42,2,2,0,10,24,13,5,30,11,19,1
35,135,35,72,28,44,2,0,2,9,26,16,6,31,11,20,1
36,127,40,80,34,46,8,6,2,11,29,14,6,34,12,22,1
37,123,43,84,36,48,4,2,2,13,30,15,7,35,12,23,1
38,117,46,90,38,52,6,2,4,18,28,17,8,38,13,25,1
39,115,47,92,39,53,2,1,1,16,31,18,8,39,14,25,1
40,113,47,94,40,54,2,1,1,10,37,18,7,41,16,25,1
41,110,46,97,42,55,3,2,1,8,38,19,6,45,16,29,1
42,109,44,98,42,56,1,0,1,5,39,22,8,48,16,32,1
43,104,43,103,43,60,5,1,4,8,35,21,8,53,20,33,2
44,101,46,107,44,63,4,1,3,11,35,21,11,54,21,33,2
45,98,46,110,47,63,3,3,0,10,36,21,10,57,22,35,2
46,96,42,112,49,63,2,2,0,11,31,17,9,63,27,36,2
47,95,41,113,50,63,1,1,0,6,35,18,10,65,27,38,2
48,91,43,116,51,65,3,1,2,6,37,18,10,66,27,39,3
49,90,41,118,51,67,2,0,2,7,34,18,12,70,31,39,3
50,87,37,121,52,69,3,1,2,7,30,16,10,77,34,43,3
51,85,34,123,54,69,2,2,0,6,28,12,10,82,37,45,3
52,84,31,124,55,69,1,1,0,5,26,13,8,86,38,48,3
53,81,31,126,55,71,2,0,2,4,27,12,10,88,39,49,4
54,79,33,129,55,74,3,0,3,7,26,13,10,89,40,49,4
55,78,30,130,56,74,1,1,0,7,23,12,10,93,41,52,4
56,77,30,131,56,75,1,0,1,6,24,11,10,94,41,53,4
57,76,25,132,56,76,1,0,1,5,20,8,8,100,43,57,4
58,76,22,132,56,76,0,0,0,2,20,8,7,103,45,58,4
59,76,21,132,56,76,0,0,0,1,20,9,7,104,46,58,4
60,75,19,133,56,77,1,0,1,1,18,8,8,107,49,58,4
61,75,16,133,56,77,0,0,0,1,15,8,6,110,49,61,4
62,74,14,134,57,77,1,1,0,1,13,6,6,112,50,62,5
63,73,13,136,59,77,2,2,0,3,10,4,5,115,51,64,6
64,74,13,136,59,77,0,0,0,3,10,5,5,115,51,64,6
65,73,14,137,59,78,1,0,1,3,11,5,5,115,51,64,6
66,72,13,138,59,79,1,0,1,3,10,3,5,117,52,65,6
67,72,11,138,59,79,0,0,0,2,9,3,4,119,52,67,6
68,72,8,138,59,79,0,0,0,0,8,2,3,122,53,69,6
69,72,7,138,59,79,0,0,0,0,7,3,2,123,53,70,6
70,71,7,139,59,80,1,0,1,1,6,3,3,124,53,71,6
71,70,8,140,60,80,1,1,0,2,6,3,3,124,53,71,6
72,69,7,140,60,80,0,0,0,2,5,2,3,125,53,72,7
73,70,7,140,60,80,0,0,0,1,6,2,3,125,53,72,7
74,69,8,141,61,80,1,1,0,1,7,2,3,125,53,72,7
75,69,7,141,61,80,0,0,0,1,6,1,4,126,54,72,7
76,69,6,141,61,80,0,0,0,1,5,2,3,127,55,72,8
77,70,5,141,61,80,0,0,0,0,5,1,3,128,56,72,8
78,69,4,142,62,80,1,1,0,1,3,1,1,130,56,74,8
79,69,4,142,62,80,0,0,0,1,3,2,1,130,56,74,8
80,69,4,142,62,80,0,0,0,0,4,2,1,130,56,74,8
81,69,4,142,62,80,0,0,0,0,4,2,1,130,56,74,8
82,68,5,143,62,81,1,0,1,1,4,3,1,130,56,74,8
83,68,3,143,62,81,0,0,0,1,2,2,0,131,57,74,9
84,69,2,143,62,81,0,0,0,1,1,1,0,132,57,75,9
85,69,2,143,62,81,0,0,0,1,1,1,0,132,57,75,9
86,69,2,143,62,81,0,0,0,0,2,1,0,132,57,75,9
87,69,2,143,62,81,0,0,0,0,2,1,0,132,57,75,9
88,69,2,143,62,81,0,0,0,0,2,1,1,132,57,75,9
89,69,2,143,62,81,0,0,0,0,2,1,1,132,57,75,9
90,69,1,143,62,81,0,0,0,0,1,0,1,133,58,75,9
91,69,1,143,62,81,0,0,0,0,1,0,1,133,58,75,9
92,69,1,143,62,81,0,0,0,0,1,0,1,133,58,75,9
93,68,2,144,63,81,1,1,0,1,1,0,1,133,58,75,9
94,68,2,144,63,81,0,0,0,1,1,0,1,133,58,75,9
95,68,2,144,63,81,0,0,0,1,1,0,1,133,58,75,9
96,67,1,144,63,81,0,0,0,0,1,0,0,134,58,76,10
97,68,1,144,63,81,0,0,0,0,1,0,0,134,58,76,10
98,68,1,144,63,81,0,0,0,0,1,1,0,134,58,76,10
99,68,1,144,63,81,0,0,0,0,1,1,0,134,58,76,10
100,68,1,144,63,81,0,0,0,0,1,1,0,134,58,76,10
101,68,1,144,63,81,0,0,0,0,1,1,0,134,58,76,10
102,68,1,144,63,81,0,0,0,0,1,1,0,134,58,76,10
103,68,1,144,63,81,0,0,0,0,1,1,0,134,58,76,10
104,68,1,144,63,81,0,0,0,0,1,1,0,134,58,76,10
105,68,1,144,63,81,0,0,0,0,1,1,0,134,58,76,10
106,68,0,144,63,81,0,0,0,0,0,0,0,135,59,76,10
107,68,0,144,63,81,0,0,0,0,0,0,0,135,59,76,10
108,68,0,144,63,81,0,0,0,0,0,0,0,135,59,76,11
109,69,0,144,63,81,0,0,0,0,0,0,0,135,59,76,11
110,69,0,144,63,81,0,0,0,0,0,0,0,135,59,76,11
111,69,0,144,63,81,0,0,0,0,0,0,0,135,59,76,11
