
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Dead
142,53,0,166,0,0,0,0,0,160,25
143,52,0,166,0,0,0,0,0,160,26
144,52,0,166,0,0,0,0,0,160,27
145,53,0,166,0,0,0,0,0,160,27
146,53,0,166,0,0,0,0,0,160,27
147,53,0,166,0,0,0,0,0,160,27
148,53,0,166,0,0,0,0,0,160,28
149,54,0,166,0,0,0,0,0,160,28
150,54,0,166,0,0,0,0,0,160,28
151,54,0,166,0,0,0,0,0,160,28
152,54,0,166,0,0,0,0,0,160,28
153,54,0,166,0,0,0,0,0,160,28
154,54,0,166,0,0,0,0,0,160,28
155,54,0,166,0,0,0,0,0,160,28
156,53,0,166,0,0,0,0,0,160,29
157,54,0,166,0,0,0,0,0,160,29
158,54,0,166,0,0,0,0,0,160,29
159,54,0,166,0,0,0,0,0,160,29
160,54,0,166,0,0,0,0,0,160,29
161,54,0,166,0,0,0,0,0,160,29
162,53,1,167,1,1,0,0,0,160,29
163,53,1,167,0,1,0,0,0,160,29
164,53,1,167,0,1,0,0,0,160,29
165,53,1,167,0,1,0,0,0,160,29
166,53,1,167,0,0,1,0,0,160,30
167,54,1,167,0,0,1,0,0,160,30
168,54,1,167,0,0,1,1,0,160,30
169,54,1,167,0,0,1,1,0,160,30
170,54,1,167,0,0,1,1,0,160,30
171,54,1,167,0,0,1,1,0,160,30
172,54,1,167,0,0,1,1,0,160,30
173,54,1,167,0,0,1,1,0,160,30
174,54,1,167,0,0,1,1,0,160,30
175,54,1,167,0,0,1,1,0,160,30
176,54,0,167,0,0,0,0,0,161,30
177,54,0,167,0,0,0,0,0,161,30
178,54,0,167,0,0,0,0,0,161,30
179,54,0,167,0,0,0,0,0,161,30
