
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Dead
0,198,2,2,2,2,0,0,0,0,0
1,198,2,2,0,2,0,0,0,0,0
2,197,3,3,1,2,1,0,0,0,0
3,197,3,3,0,2,1,0,0,0,0
4,197,3,3,0,1,2,1,0,0,0
5,196,4,4,1,1,3,1,0,0,0
6,196,4,4,0,1,3,1,1,0,0
7,195,5,5,1,2,3,2,1,0,0
8,195,5,5,0,2,3,2,1,0,0
9,195,5,5,0,1,4,2,1,0,0
10,193,7,7,2,3,4,2,1,0,0
11,192,8,8,1,3,5,2,2,0,0
12,189,10,11,3,6,4,1,2,1,0
13,186,13,14,3,8,5,2,2,1,0
14,184,14,16,2,8,6,2,1,2,0
15,181,15,18,2,8,7,2,1,3,1
16,181,16,19,1,6,10,3,2,3,1
17,179,18,21,2,5,13,5,2,3,1
18,173,24,27,6,10,14,7,3,3,1
19,169,27,31,4,11,16,7,5,4,1
20,168,28,32,1,8,20,8,5,4,1
21,164,31,36,4,10,21,8,7,5,1
22,163,31,37,1,7,24,11,7,5,2
23,158,34,42,5,10,24,10,8,6,4
24,155,37,47,5,12,25,12,8,8,4
25,151,39,51,4,12,27,12,8,10,4
26,147,40,55,4,15,25,12,8,13,4
27,144,40,58,3,14,26,14,7,16,4
28,142,41,60,2,10,31,14,7,17,4
29,140,41,62,2,5,36,18,5,19,4
30,138,40,64,2,6,34,18,8,22,4
31,134,42,68,4,8,34,22,9,24,4
32,133,39,69,1,6,33,20,8,28,4
33,131,38,70,1,4,34,20,8,30,5
34,128,39,74,4,6,33,20,8,33,5
35,124,39,78,4,9,30,21,6,37,5
36,123,38,79,1,9,29,20,7,38,6
37,121,37,82,3,11,26,16,8,42,6
38,116,35,87,5,10,25,13,5,48,7
39,115,30,89,2,10,20,8,4,55,7
40,114,31,90,1,6,25,12,6,55,7
41,112,31,92,2,4,27,12,6,57,7
42,111,29,93,1,4,25,13,7,60,7
43,109,28,95,2,4,24,13,8,62,8
44,105,31,100,5,8,23,12,8,63,9
45,105,30,101,1,8,22,12,8,64,10
46,105,30,102,1,8,22,12,8,65,10
47,104,30,103,1,6,24,13,7,66,10
48,104,25,103,0,2,23,11,5,71,10
49,102,25,105,2,3,22,10,7,73,10
50,100,23,107,2,5,18,9,8,77,10
51,99,20,108,1,5,15,8,6,81,10
52,98,20,109,1,6,14,7,6,82,10
53,97,19,110,1,4,15,7,5,84,10
54,95,20,112,2,5,15,6,5,85,10
55,93,19,113,1,5,14,6,6,86,12
56,91,22,117,4,8,14,6,6,87,12
57,91,18,117,0,5,13,4,5,90,13
58,91,15,118,1,2,13,4,2,94,13
59,90,15,119,1,3,12,5,3,95,13
60,89,16,120,1,2,14,9,3,95,13
61,88,17,121,1,2,15,9,3,95,13
62,87,18,122,1,2,16,10,4,95,13
63,86,16,123,1,3,13,9,3,98,13
64,83,19,126,3,4,15,10,3,98,13
65,81,20,128,2,5,15,10,2,99,13
66,81,18,128,0,3,15,9,3,100,14
67,81,16,129,1,4,12,7,3,103,14
68,81,12,129,0,1,11,4,4,107,14
69,80,13,130,1,2,11,4,4,107,14
70,79,12,130,0,1,11,6,4,108,15
71,80,11,130,0,0,11,5,4,109,15
72,79,11,131,1,1,10,4,5,110,15
73,77,13,133,2,3,10,5,5,110,15
74,75,13,135,2,5,8,4,4,112,15
75,74,13,136,1,5,8,4,3,113,16
76,75,11,136,0,3,8,3,2,115,16
77,74,11,137,1,2,9,3,2,115,17
78,74,10,138,1,2,8,4,1,117,17
79,73,11,139,1,3,8,6,1,117,17
