
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Dead
0,195,5,5,5,5,0,0,0,0,0
1,195,5,5,0,5,0,0,0,0,0
2,194,6,6,1,5,1,0,0,0,0
3,193,7,7,1,5,2,0,0,0,0
4,193,7,7,0,2,5,0,1,0,0
5,192,8,8,1,3,5,1,1,0,0
6,191,9,9,1,2,7,1,4,0,0
7,188,12,12,3,4,8,1,4,0,0
8,185,15,15,3,6,9,2,5,0,0
9,179,19,19,4,9,10,3,5,0,2
10,179,21,21,2,9,12,4,5,0,2
11,179,21,21,0,4,17,5,5,0,2
12,173,26,27,6,9,17,5,6,1,2
13,171,27,29,2,8,19,8,7,2,2
14,167,28,33,4,10,18,9,4,5,2
15,163,31,36,3,12,19,12,4,5,3
16,159,34,41,5,11,23,12,4,7,3
17,158,34,42,1,9,25,12,4,8,3
18,153,38,47,5,10,28,17,4,9,3
19,151,38,48,1,7,31,18,5,10,4
20,149,38,51,3,7,31,21,3,12,5
21,143,40,58,7,10,30,21,2,17,5
22,138,43,62,4,14,29,21,4,18,6
23,136,44,65,3,13,31,21,6,20,6
24,135,43,66,1,6,37,20,5,22,6
25,129,48,72,6,12,36,22,6,23,6
26,125,46,76,4,11,35,22,8,29,6
27,116,52,85,9,18,34,20,7,32,6
28,113,50,88,3,17,33,18,9,36,7
29,112,48,90,2,13,35,14,11,40,7
30,109,48,93,3,11,37,16,10,43,7
31,107,47,95,2,9,38,21,8,46,7
32,104,49,98,3,7,42,26,8,46,8
33,102,48,101,3,8,40,27,7,50,8
34,100,42,103,2,6,36,24,6,58,8
35,97,45,106,3,8,37,26,6,58,8
36,92,45,111,5,12,33,26,5,63,8
37,90,45,113,2,10,35,26,4,65,8
38,88,43,115,2,9,34,24,3,69,8
39,86,39,117,2,7,32,18,7,75,8
40,83,37,120,3,8,29,15,8,80,8
41,80,36,123,3,9,27,13,10,84,8
42,79,33,124,1,9,24,11,10,88,8
43,76,32,127,3,6,26,8,11,90,10
44,75,32,130,3,8,24,7,10,93,11
45,75,32,131,1,7,25,11,11,94,11
46,75,31,131,0,5,26,11,11,95,11
47,74,28,132,1,3,25,13,7,99,11
48,73,26,133,1,3,23,12,7,102,11
49,72,23,134,1,3,20,12,6,106,11
50,72,22,134,0,1,21,13,5,107,11
51,70,22,136,2,3,19,13,4,109,11
52,65,26,141,5,7,19,14,4,110,11
