
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Dead
0,199,1,1,1,1,0,0,0,0,0
1,199,1,1,0,1,0,0,0,0,0
2,199,1,1,0,1,0,0,0,0,0
3,198,2,2,1,1,1,0,0,0,0
4,195,5,5,3,4,1,0,0,0,0
5,194,6,6,1,4,2,0,1,0,0
6,193,7,7,1,4,3,0,1,0,0
7,193,7,7,0,2,5,1,1,0,0
8,192,8,8,1,2,6,1,2,0,0
9,191,9,9,1,3,6,2,3,0,0
10,191,9,9,0,1,8,3,3,0,0
11,191,9,9,0,0,9,3,3,0,0
12,190,9,9,0,0,9,5,3,0,1
13,187,12,13,4,4,8,6,2,1,1
14,186,13,14,1,5,8,6,2,1,1
15,184,14,16,2,6,8,5,2,2,1
16,182,14,17,1,6,8,5,1,3,2
17,182,13,18,1,4,9,5,0,5,2
18,181,13,19,1,2,11,5,0,6,2
19,177,16,22,3,5,11,8,0,6,3
20,170,21,29,7,11,10,8,1,8,4
21,168,23,32,3,13,10,7,1,9,4
22,164,27,36,4,13,14,8,1,9,4
23,159,32,41,5,12,20,8,2,9,4
24,156,35,44,3,9,26,12,2,9,4
25,148,42,52,8,14,28,14,5,10,4
26,145,44,55,3,16,28,17,7,11,4
27,138,48,62,7,18,30,17,7,14,4
28,133,50,67,5,17,33,16,6,17,4
29,127,56,73,6,18,38,20,7,17,4
30,123,58,77,4,16,42,21,10,18,5
31,122,59,79,2,12,47,25,10,19,5
32,115,63,86,7,14,49,25,13,22,5
33,105,67,96,10,19,48,27,11,28,5
34,101,65,100,4,19,46,26,11,34,5
35,98,65,103,3,14,51,27,12,37,5
36,94,66,107,4,16,50,26,14,38,7
37,90,67,113,6,12,55,28,15,43,7
38,88,62,115,2,10,52,25,13,49,8
39,85,62,119,4,10,52,27,17,53,8
40,84,57,120,1,10,47,25,17,59,8
41,82,53,122,2,6,47,21,19,64,9
42,77,53,127,5,9,44,19,17,69,10
