
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Dead
0,195,5,5,5,5,0,0,0,0,0
1,193,7,7,2,7,0,0,0,0,0
2,192,8,8,1,7,1,0,0,0,0
3,191,9,9,1,5,4,0,0,0,0
4,190,10,10,1,4,6,1,0,0,0
5,187,12,12,2,4,8,3,1,0,1
6,188,12,12,0,3,9,5,1,0,1
7,187,13,13,1,2,11,6,2,0,1
8,185,15,15,2,3,12,7,2,0,1
9,185,15,15,0,2,13,8,3,0,1
10,182,18,18,3,5,13,9,3,0,1
11,179,21,21,3,8,13,10,3,0,1
12,177,22,23,2,7,15,9,3,1,1
13,175,21,25,2,9,12,7,2,4,1
14,175,19,25,0,5,14,6,4,6,1
15,174,18,26,1,2,16,5,3,8,1
16,170,21,30,4,5,16,5,6,9,1
17,167,22,33,3,7,15,7,6,11,1
18,167,21,33,0,5,16,7,6,12,1
19,163,24,37,4,6,18,6,7,13,1
20,160,27,40,3,7,20,7,8,13,1
21,156,30,43,3,9,21,9,9,13,2
22,155,29,45,2,10,19,8,9,16,2
23,149,35,51,6,9,26,9,9,16,2
24,144,35,56,5,13,22,8,6,20,3
25,141,36,60,4,13,23,11,7,23,3
26,139,37,62,2,10,27,10,8,24,3
27,137,38,64,2,10,28,13,8,25,3
28,136,37,65,1,5,32,14,10,27,3
29,131,39,70,5,8,31,13,10,30,3
30,125,43,76,6,13,30,16,11,32,3
31,124,43,77,1,12,31,16,12,33,3
32,124,42,77,0,7,35,16,12,34,3
33,122,37,79,2,6,31,13,10,41,3
34,121,36,80,1,4,32,15,11,42,4
35,120,34,82,2,4,30,14,11,46,4
36,120,28,82,0,4,24,14,8,51,5
37,119,28,84,2,5,23,13,9,53,5
38,117,24,86,2,6,18,10,6,59,5
39,116,23,87,1,3,20,10,5,61,5
40,115,24,88,1,3,21,10,6,61,5
41,114,23,89,1,3,20,9,9,63,5
42,112,21,91,2,3,18,8,7,67,5
43,110,20,93,2,4,16,6,7,70,5
44,110,17,93,0,3,14,4,8,73,6
45,108,18,96,3,5,13,5,6,75,6
46,107,19,97,1,4,15,6,6,75,6
47,107,18,97,0,2,16,6,6,76,6
48,107,17,97,0,2,15,8,5,77,6
49,103,17,101,4,4,13,9,2,81,6
50,100,19,104,3,7,12,8,2,82,6
51,98,20,106,2,7,13,10,1,83,6
52,98,18,106,0,3,15,9,0,85,6
53,97,18,107,1,3,15,9,1,86,6
54,96,18,108,1,2,16,10,3,87,6
55,95,18,109,1,3,15,10,3,88,6
56,95,16,109,0,2,14,10,3,90,6
57,91,16,112,3,4,12,7,3,92,8
58,93,16,112,0,4,12,8,3,92,8
59,92,15,113,1,3,12,7,3,94,8
60,89,18,116,3,5,13,7,3,94,8
61,88,17,117,1,5,12,8,2,96,8
62,88,12,117,0,4,8,6,0,100,9
63,89,12,117,0,3,9,7,0,100,9
64,87,12,119,2,3,9,6,0,102,9
65,86,13,120,1,3,10,7,0,102,9
66,85,13,121,1,3,10,7,1,103,9
67,84,13,122,1,2,11,6,2,104,9
68,84,13,122,0,2,11,6,3,104,9
69,82,14,124,2,4,10,6,4,105,9
70,81,13,124,0,3,10,5,4,106,10
71,81,12,124,0,2,10,4,4,107,11
72,78,15,128,4,5,10,4,4,108,11
73,77,15,129,1,5,10,3,5,109,11
74,77,13,129,0,5,8,3,4,111,11
75,77,12,129,0,1,11,3,4,112,11
76,76,12,130,1,2,10,3,3,113,11
77,75,11,131,1,2,9,5,3,115,11
78,75,11,131,0,1,10,5,3,115,11
79,75,11,131,0,1,10,5,4,115,11
80,75,10,131,0,1,9,4,5,116,11
81,75,9,131,0,0,9,4,4,117,11
82,75,8,131,0,0,8,3,4,118,11
83,74,8,132,1,1,7,4,3,119,11
84,74,8,132,0,1,7,4,3,119,11
85,73,5,133,1,2,3,1,2,123,11
86,73,5,133,0,2,3,1,2,123,11
87,73,4,133,0,1,3,1,1,124,11
88,73,3,133,0,1,2,1,0,125,11
89,72,3,133,0,0,3,2,0,125,12
90,73,3,133,0,0,3,2,0,125,12
91,73,2,133,0,0,2,1,1,126,12
92,73,2,133,0,0,2,1,1,126,12
93,73,2,133,0,0,2,1,1,126,13
94,74,2,133,0,0,2,1,1,126,13
95,72,3,134,1,1,2,1,1,126,14
96,73,3,134,0,1,2,1,1,126,14
97,71,4,136,2,3,1,0,1,127,14
98,69,5,137,1,4,1,0,1,127,15
99,70,4,137,0,3,1,0,0,128,15
100,70,4,137,0,1,3,0,0,128,15
101,70,4,137,0,0,4,1,0,128,15
102,70,4,137,0,0,4,2,1,128,15
103,69,5,138,1,1,4,3,1,128,15
104,68,6,139,1,2,4,3,1,128,15
105,67,7,140,1,3,4,3,1,128,15
106,67,7,140,0,2,5,3,1,128,15
107,67,7,140,0,2,5,3,1,128,15
108,67,7,140,0,1,6,4,1,128,15
109,67,6,140,0,0,6,3,1,129,15
110,67,4,140,0,0,4,2,1,131,15
111,67,3,140,0,0,3,2,1,132,15
112,67,3,140,0,0,3,2,1,132,15
113,67,3,140,0,0,3,2,1,132,15
114,67,3,140,0,0,3,2,1,132,15
115,67,3,140,0,0,3,2,1,132,15
116,67,2,140,0,0,2,1,1,133,15
117,67,2,140,0,0,2,1,1,133,15
118,66,2,141,1,1,1,1,0,134,15
119,66,1,141,0,1,0,0,0,135,15
120,65,1,141,0,0,1,0,0,135,16
121,66,1,141,0,0,1,0,0,135,16
122,65,2,142,1,1,1,1,0,135,16
123,65,2,142,0,1,1,1,0,135,16
124,65,2,142,0,1,1,1,0,135,16
125,64,3,143,1,2,1,1,0,135,16
126,64,3,143,0,1,2,1,0,135,16
127,64,3,143,0,1,2,1,0,135,16
128,64,3,143,0,1,2,1,1,135,16
129,62,4,144,1,1,3,1,1,135,17
130,62,4,145,1,2,2,0,1,136,17
131,62,4,145,0,2,2,1,1,136,17
132,62,4,145,0,2,2,1,1,136,17
133,62,4,145,0,1,3,1,1,136,17
134,62,4,145,0,0,4,1,1,136,17
135,62,4,145,0,0,4,2,1,136,17
136,62,3,145,0,0,3,3,0,137,17
137,62,3,145,0,0,3,3,0,137,17
138,62,1,145,0,0,1,1,0,137,19
139,64,1,145,0,0,1,1,0,137,19
140,64,1,145,0,0,1,1,0,137,19
141,64,1,145,0,0,1,1,0,137,19
142,64,1,145,0,0,1,1,0,137,19
143,64,1,145,0,0,1,1,0,137,19
144,64,0,145,0,0,0,0,0,138,19
145,64,0,145,0,0,0,0,0,138,19
146,64,0,145,0,0,0,0,0,138,19
147,64,0,145,0,0,0,0,0,138,20
148,65,0,145,0,0,0,0,0,138,20
149,65,0,145,0,0,0,0,0,138,20
150,65,0,145,0,0,0,0,0,138,20
151,65,0,145,0,0,0,0,0,138,20
152,65,0,145,0,0,0,0,0,138,20
153,65,0,145,0,0,0,0,0,138,20
154,65,0,145,0,0,0,0,0,138,20
155,65,0,145,0,0,0,0,0,138,20
156,65,0,145,0,0,0,0,0,138,20
157,65,0,145,0,0,0,0,0,138,20
158,65,0,145,0,0,0,0,0,138,21
