
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Dead
0,197,2,2,2,2,0,0,0,0,1
1,198,2,2,0,2,0,0,0,0,1
2,197,3,3,1,3,0,0,0,0,1
3,197,3,3,0,2,1,0,0,0,1
4,197,3,3,0,1,2,0,0,0,1
5,194,6,6,3,3,3,1,0,0,1
6,193,7,7,1,4,3,2,0,0,1
7,193,7,7,0,3,4,2,1,0,1
8,191,9,9,2,3,6,2,1,0,1
9,188,12,12,3,5,7,3,1,0,1
10,186,14,14,2,7,7,5,1,0,1
11,184,16,16,2,8,8,6,1,0,1
12,183,16,17,1,5,11,5,1,0,2
13,182,17,19,2,4,13,5,1,1,2
14,180,18,21,2,5,13,7,2,2,2
15,180,17,21,0,3,14,8,3,3,2
16,178,19,23,2,2,17,9,3,3,2
17,177,19,24,1,3,16,9,4,4,2
18,174,19,27,3,5,14,7,6,6,3
19,171,23,31,4,8,15,7,6,6,3
20,168,26,34,3,10,16,8,6,6,3
21,166,27,36,2,9,18,8,6,7,3
22,162,28,40,4,8,20,7,5,10,3
23,161,25,41,1,6,19,8,3,13,4
24,157,29,46,5,10,19,12,3,14,4
25,153,31,50,4,11,20,13,3,16,4
26,152,30,51,1,8,22,13,2,18,4
27,149,33,54,3,10,23,15,3,18,4
28,147,34,56,2,7,27,16,5,19,4
29,143,37,60,4,8,29,16,5,20,4
30,139,40,64,4,10,30,17,8,21,4
31,136,40,67,3,10,30,16,9,24,4
32,134,37,69,2,8,29,12,10,29,4
33,129,38,74,5,11,27,10,11,32,5
34,127,40,77,3,12,28,12,12,33,5
35,126,38,78,1,7,31,12,11,36,5
36,122,38,82,4,9,29,12,9,40,5
37,120,40,84,2,8,32,17,10,40,5
38,117,38,87,3,7,31,16,8,45,5
39,112,40,92,5,10,30,16,8,48,5
40,107,43,97,5,12,31,18,8,50,5
41,103,44,101,4,13,31,19,6,53,5
42,102,41,102,1,9,32,19,5,57,5
43,99,41,105,3,10,31,17,7,59,6
44,99,40,106,1,6,34,20,7,61,6
45,98,35,107,1,4,31,17,6,67,6
46,95,36,110,3,4,32,20,6,69,6
47,93,35,112,2,6,29,20,6,72,6
48,92,33,113,1,6,27,20,6,75,6
49,88,34,117,4,7,27,17,6,77,7
50,87,33,119,2,6,27,16,5,80,7
51,85,32,121,2,8,24,18,3,83,7
52,84,29,122,1,8,21,17,3,87,7
53,82,29,124,2,5,24,15,3,89,7
54,80,26,126,2,6,20,11,3,94,7
55,79,24,127,1,6,18,13,3,97,7
56,78,22,128,1,5,17,12,2,100,7
57,77,23,129,1,4,19,13,2,100,7
58,77,22,129,0,2,20,14,2,101,8
59,76,21,131,2,3,18,12,3,104,8
60,73,21,134,3,6,15,11,3,107,8
61,72,22,135,1,5,17,12,3,107,8
62,71,22,136,1,2,20,12,2,108,9
63,69,20,139,3,5,15,9,2,113,9
64,69,19,139,0,5,14,10,4,114,9
65,68,19,140,1,3,16,9,4,115,9
66,67,18,141,1,3,15,7,4,117,9
67,66,17,142,1,3,14,9,3,119,9
68,66,15,142,0,2,13,8,3,121,9
69,64,16,144,2,3,13,8,3,122,9
70,63,17,145,1,3,14,8,4,122,9
71,63,15,145,0,2,13,8,3,124,9
72,62,11,146,1,3,8,5,2,128,10
73,63,11,146,0,2,9,6,2,128,10
74,63,11,146,0,0,11,6,2,128,10
75,63,8,146,0,0,8,4,2,131,10
76,62,8,147,1,1,7,3,4,132,10
77,61,8,148,1,2,6,2,4,133,10
78,61,7,148,0,2,5,2,3,134,10
79,61,7,148,0,1,6,2,3,134,10
80,61,6,148,0,1,5,2,2,135,10
81,61,5,148,0,0,5,2,2,136,10
82,61,5,148,0,0,5,2,2,136,11
83,61,5,149,1,1,4,2,2,137,11
84,61,3,149,0,1,2,2,0,139,11
85,61,3,149,0,1,2,2,0,139,11
86,61,3,149,0,1,2,2,0,139,11
87,60,4,150,1,1,3,2,0,139,11
88,60,4,150,0,1,3,2,0,139,11
89,60,3,150,0,1,2,1,1,140,11
90,59,4,151,1,2,2,1,1,140,11
91,59,3,151,0,1,2,0,1,141,11
92,59,3,151,0,1,2,0,1,141,11
93,59,3,151,0,1,2,1,1,141,11
94,59,3,151,0,0,3,1,1,141,11
95,58,4,152,1,1,3,1,1,141,12
96,58,5,153,1,2,3,2,1,141,12
97,58,4,153,0,1,3,2,0,142,13
98,59,4,153,0,0,4,2,0,142,13
99,59,4,153,0,0,4,2,1,142,13
100,59,4,153,0,0,4,3,1,142,13
101,58,4,154,1,1,3,2,1,143,13
102,58,3,154,0,1,2,1,1,143,14
103,59,3,154,0,1,2,1,1,143,14
104,58,3,154,0,0,3,1,1,143,15
105,59,3,154,0,0,3,1,1,143,15
106,59,3,154,0,0,3,2,1,143,15
107,59,2,154,0,0,2,2,0,144,15
108,59,1,154,0,0,1,1,0,145,16
109,60,1,154,0,0,1,1,0,145,16
110,60,1,154,0,0,1,1,0,145,16
111,60,1,154,0,0,1,1,0,145,16
112,60,1,154,0,0,1,1,0,145,16
113,60,1,154,0,0,1,1,0,145,17
114,60,1,155,1,1,0,0,0,146,17
115,60,1,155,0,1,0,0,0,146,17
116,60,1,155,0,1,0,0,0,146,17
117,60,1,155,0,1,0,0,0,146,17
118,60,1,155,0,0,1,0,0,146,17
119,60,1,155,0,0,1,0,0,146,17
120,60,1,155,0,0,1,1,0,146,17
121,60,1,155,0,0,1,1,0,146,17
122,60,1,155,0,0,1,1,0,146,17
123,60,1,155,0,0,1,1,0,146,17
124,59,2,156,1,1,1,1,0,146,17
125,59,2,156,0,1,1,1,0,146,17
126,59,2,156,0,1,1,1,0,146,17
127,59,2,156,0,1,1,1,0,146,17
128,59,1,156,0,0,1,0,0,147,17
129,59,1,156,0,0,1,0,0,147,17
130,59,1,156,0,0,1,1,0,147,17
131,59,1,156,0,0,1,1,0,147,17
132,58,2,157,1,1,1,1,0,147,17
133,58,2,157,0,1,1,1,0,147,17
