
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Dead
0,200,0,0,0,0,0,0,0,0,0
1,199,1,1,1,1,0,0,0,0,0
2,199,1,1,0,1,0,0,0,0,0
3,199,1,1,0,0,1,0,0,0,0
4,199,1,1,0,0,1,0,0,0,0
5,199,1,1,0,0,1,1,0,0,0
6,199,1,1,0,0,1,1,0,0,0
7,199,1,1,0,0,1,1,0,0,0
8,199,1,1,0,0,1,1,0,0,0
9,198,2,2,1,1,1,1,0,0,0
10,198,2,2,0,1,1,1,0,0,0
11,198,2,2,0,1,1,1,0,0,0
12,197,3,3,1,1,2,1,0,0,0
13,195,4,5,2,3,1,0,0,1,0
14,195,4,5,0,3,1,0,1,1,0
15,195,4,5,0,1,3,0,1,1,0
16,192,6,7,2,3,3,0,1,1,1
17,192,7,8,1,3,4,0,3,1,1
18,192,7,8,0,2,5,0,3,1,1
19,191,8,9,1,2,6,1,3,1,1
20,189,10,11,2,3,7,2,3,1,1
21,187,12,13,2,5,7,2,4,1,1
22,185,13,15,2,5,8,3,3,2,1
23,182,15,17,2,7,8,3,3,2,2
24,181,17,19,2,6,11,4,4,2,2
25,178,18,22,3,7,11,4,2,4,2
26,177,19,23,1,5,14,7,2,4,2
27,172,22,27,4,6,16,7,3,5,3
28,167,25,32,5,9,16,6,5,6,5
29,162,31,39,7,16,15,9,4,7,5
30,160,32,41,2,14,18,9,5,8,5
31,158,34,43,2,12,22,9,5,8,5
32,152,38,49,6,12,26,10,6,10,5
33,149,41,52,3,10,31,11,9,10,5
34,146,42,55,3,10,32,13,11,12,5
35,143,43,58,3,12,31,17,10,14,5
36,141,41,59,1,8,33,18,9,17,6
37,141,38,60,1,3,35,15,9,20,7
38,133,45,69,9,10,35,18,9,22,7
39,128,50,74,5,14,36,23,10,22,7
40,122,53,80,6,17,36,23,9,25,7
41,118,51,83,3,14,37,23,6,29,9
42,113,51,90,7,17,34,19,5,35,10
43,110,50,94,4,16,34,19,6,40,10
44,106,51,98,4,13,38,18,8,43,10
