
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Dead
0,195,5,5,5,5,0,0,0,0,0
1,194,6,6,1,6,0,0,0,0,0
2,194,6,6,0,4,2,0,0,0,0
3,192,8,8,2,5,3,0,0,0,0
4,192,8,8,0,2,6,1,1,0,0
5,192,8,8,0,1,7,1,2,0,0
6,189,11,11,3,4,7,3,3,0,0
7,187,13,13,2,5,8,4,3,0,0
8,185,15,15,2,6,9,4,3,0,0
9,185,15,15,0,5,10,5,3,0,0
10,185,15,15,0,2,13,6,3,0,0
11,183,17,17,2,2,15,6,4,0,0
12,179,19,21,4,6,13,7,4,2,0
13,175,22,25,4,10,12,8,4,3,0
14,172,22,28,3,10,12,6,3,6,0
15,170,22,30,2,9,13,5,3,7,1
16,168,25,33,3,6,19,7,4,7,1
17,164,27,36,3,7,20,8,4,8,2
18,163,28,38,2,7,21,9,8,9,2
19,162,28,39,1,6,22,11,7,10,2
20,158,29,43,4,7,22,11,6,13,2
21,153,32,48,5,10,22,11,6,15,2
22,148,37,53,5,13,24,14,6,15,2
23,142,43,59,6,14,29,15,7,15,2
24,139,43,62,3,14,29,14,7,18,2
25,134,46,67,5,15,31,16,8,20,2
26,133,41,68,1,13,28,17,4,26,2
27,129,43,72,4,11,32,17,6,28,2
28,126,44,75,3,9,35,17,7,30,2
29,123,45,78,3,9,36,20,8,32,2
30,119,46,82,4,12,34,20,10,35,2
31,115,48,86,4,11,37,20,11,37,2
32,110,51,91,5,13,38,19,11,39,2
33,108,48,93,2,12,36,19,11,44,2
34,103,50,98,5,12,38,19,11,47,2
35,100,49,101,3,10,39,20,9,51,2
36,95,51,106,5,12,39,22,9,54,2
37,93,47,108,2,14,33,21,9,60,2
38,91,43,110,2,9,34,17,10,65,3
39,90,42,112,2,6,36,16,8,68,3
40,88,43,114,2,6,37,22,8,69,3
41,87,39,115,1,4,35,21,9,74,3
42,86,37,116,1,4,33,20,9,77,3
43,80,41,122,6,10,31,21,9,79,3
44,77,39,125,3,10,29,17,9,84,3
45,75,36,127,2,6,30,14,7,89,3
46,71,37,131,4,10,27,17,4,92,3
47,67,41,135,4,10,31,20,7,92,3
48,67,34,135,0,8,26,14,6,99,3
49,65,31,137,2,8,23,13,6,104,3
50,64,30,138,1,5,25,13,6,106,3
51,64,27,138,0,2,25,12,6,109,3
52,61,29,141,3,4,25,16,5,110,3
53,60,30,142,1,4,26,17,7,110,3
54,56,30,145,3,6,24,14,8,113,4
55,57,23,145,0,6,17,11,5,119,6
56,59,23,145,0,2,21,12,5,119,6
57,57,21,146,1,3,18,11,3,122,7
58,57,20,147,1,2,18,13,3,124,7
59,55,20,149,2,4,16,11,3,126,7
60,55,16,149,0,4,12,9,3,130,7
61,55,13,149,0,1,12,8,1,133,7
62,55,12,149,0,1,11,8,0,134,7
63,55,11,149,0,0,11,10,0,135,7
64,55,9,149,0,0,9,8,0,136,8
65,56,9,149,0,0,9,8,1,136,8
66,55,6,150,1,1,5,4,1,140,9
67,56,6,150,0,1,5,4,1,140,9
68,56,5,150,0,1,4,3,1,141,9
69,56,4,150,0,0,4,2,1,141,10
70,57,4,150,0,0,4,2,1,141,11
71,58,2,150,0,0,2,1,1,143,11
72,58,2,150,0,0,2,1,1,143,11
73,58,1,150,0,0,1,1,0,144,11
74,58,1,150,0,0,1,1,0,144,11
75,58,1,150,0,0,1,1,0,144,11
76,58,1,150,0,0,1,1,0,144,11
77,57,2,151,1,1,1,1,0,144,11
78,57,2,151,0,1,1,1,0,144,11
79,56,1,151,0,0,1,0,0,145,12
80,57,1,151,0,0,1,0,0,145,12
81,57,1,151,0,0,1,1,0,145,12
82,57,1,151,0,0,1,1,0,145,12
83,57,1,151,0,0,1,1,0,145,12
84,57,1,151,0,0,1,1,0,145,12
85,57,1,151,0,0,1,1,0,145,12
86,57,1,151,0,0,1,1,0,145,12
87,57,1,151,0,0,1,1,0,145,12
88,57,1,151,0,0,1,1,0,145,12
89,56,1,152,1,1,0,0,0,146,12
90,56,1,152,0,1,0,0,0,146,12
91,56,1,152,0,1,0,0,0,146,12
92,56,1,152,0,1,0,0,0,146,12
93,56,1,152,0,0,1,0,0,146,12
94,56,1,152,0,0,1,0,0,146,12
95,56,1,152,0,0,1,1,0,146,12
96,56,1,152,0,0,1,1,0,146,12
97,56,1,152,0,0,1,1,0,146,12
98,55,1,152,0,0,1,1,0,146,13
99,56,1,152,0,0,1,1,0,146,13
100,56,1,152,0,0,1,1,0,146,13
101,54,2,153,1,1,1,1,0,146,14
102,55,2,153,0,1,1,1,0,146,14
103,55,1,153,0,0,1,0,0,147,14
104,55,1,153,0,0,1,0,0,147,14
105,55,1,153,0,0,1,0,1,147,14
106,54,1,153,0,0,1,0,1,147,15
107,55,1,153,0,0,1,0,1,147,15
108,54,2,154,1,1,1,0,1,147,15
109,54,2,154,0,1,1,0,1,147,15
110,54,2,154,0,1,1,0,1,147,15
111,54,2,154,0,1,1,0,1,147,15
