
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Dead
0,198,2,2,2,2,0,0,0,0,0
1,197,3,3,1,3,0,0,0,0,0
2,196,4,4,1,4,0,0,0,0,0
3,196,4,4,0,2,2,0,0,0,0
4,196,4,4,0,0,4,0,0,0,0
5,195,5,5,1,1,4,1,1,0,0
6,194,6,6,1,2,4,1,3,0,0
7,194,6,6,0,2,4,1,3,0,0
8,193,7,7,1,2,5,1,3,0,0
9,193,7,7,0,1,6,1,3,0,0
10,191,9,9,2,3,6,2,3,0,0
11,189,11,11,2,5,6,3,3,0,0
12,188,12,12,1,4,8,3,3,0,0
13,186,12,14,2,5,7,2,2,2,0
14,183,13,17,3,6,7,3,1,4,0
15,182,14,18,1,5,9,3,2,4,0
16,181,15,19,1,6,9,4,3,4,0
17,180,16,20,1,4,12,6,3,4,0
18,179,15,21,1,3,12,4,3,5,1
19,178,16,23,2,4,12,6,3,6,1
20,178,16,23,0,3,13,8,3,6,1
21,177,16,24,1,2,14,8,3,6,2
22,174,18,28,4,5,13,7,3,8,2
23,171,19,30,2,6,13,8,3,9,3
24,169,20,33,3,8,12,8,2,11,3
25,167,21,35,2,9,12,8,2,12,3
26,164,24,38,3,7,17,9,2,12,3
27,162,23,40,2,8,15,7,2,15,3
28,160,24,42,2,6,18,9,4,16,3
29,158,25,44,2,7,18,9,4,17,3
30,154,28,48,4,6,22,11,5,18,3
31,146,34,56,8,13,21,10,5,20,3
32,141,38,61,5,16,22,12,7,21,3
33,138,39,64,3,14,25,11,7,22,4
34,137,40,66,2,7,33,11,8,23,4
35,135,40,68,2,8,32,12,10,24,5
36,132,39,72,4,9,30,17,9,29,5
37,129,42,75,3,8,34,18,9,29,5
38,126,40,77,2,9,31,19,7,33,6
39,123,43,81,4,12,31,20,9,34,6
40,123,38,81,0,7,31,17,8,38,7
41,119,43,86,5,10,33,18,8,38,7
42,113,47,92,6,12,35,22,7,40,7
43,111,44,94,2,12,32,19,7,45,7
44,111,35,94,0,10,25,14,7,54,7
45,110,35,95,1,4,31,15,7,55,7
46,107,35,98,3,4,31,13,8,58,7
47,105,33,100,2,5,28,18,6,62,7
48,102,35,103,3,7,28,20,6,63,7
49,101,34,103,0,5,29,19,7,64,8
50,99,32,106,3,6,26,15,7,69,8
51,95,34,110,4,7,27,17,5,71,8
52,92,33,113,3,9,24,15,5,75,8
53,89,34,116,3,10,24,16,5,77,8
54,87,34,118,2,9,25,16,4,79,8
55,86,28,119,1,8,20,12,3,86,8
56,84,27,121,2,6,21,13,2,89,8
57,82,26,122,1,5,21,13,2,90,10
58,83,26,123,1,4,22,15,3,91,10
59,83,24,123,0,3,21,15,3,93,10
60,81,24,125,2,3,21,16,2,95,10
61,80,22,126,1,4,18,13,3,97,11
62,81,21,126,0,3,18,13,4,98,11
63,80,19,127,1,4,15,10,4,100,12
64,81,16,127,0,2,14,8,4,103,12
65,80,15,128,1,1,14,7,3,105,12
66,79,13,129,1,2,11,6,3,108,12
67,76,15,132,3,4,11,7,3,109,12
68,76,13,132,0,4,9,5,3,111,12
69,76,12,132,0,4,8,5,3,112,12
70,74,12,134,2,4,8,4,2,114,12
71,73,13,135,1,3,10,4,2,114,12
72,73,12,135,0,2,10,3,4,115,12
73,73,12,135,0,2,10,5,4,115,13
74,72,12,137,2,3,9,5,3,117,13
75,69,13,140,3,5,8,3,3,119,13
76,69,13,140,0,4,9,3,4,119,13
77,69,11,140,0,3,8,3,3,120,14
78,69,12,141,1,2,10,4,3,120,14
79,69,12,141,0,1,11,4,4,120,14
80,68,11,142,1,1,10,6,2,122,14
81,68,9,142,0,1,8,4,3,124,14
82,67,10,143,1,2,8,5,3,124,14
