
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Dead
0,197,3,3,3,3,0,0,0,0,0
1,195,5,5,2,5,0,0,0,0,0
2,195,5,5,0,3,2,0,0,0,0
3,195,5,5,0,1,4,0,0,0,0
4,193,7,7,2,2,5,2,0,0,0
5,191,9,9,2,4,5,2,2,0,0
6,190,10,10,1,3,7,2,3,0,0
7,186,14,14,4,7,7,2,3,0,0
8,184,15,15,1,7,8,3,4,0,1
9,184,16,16,1,6,10,3,4,0,1
10,182,18,18,2,5,13,4,4,0,1
11,179,21,21,3,7,14,6,4,0,1
12,176,22,24,3,8,14,5,6,2,1
13,169,27,31,7,12,15,6,4,4,1
14,167,28,33,2,12,16,8,3,5,1
15,165,30,35,2,10,20,11,3,5,1
16,159,34,41,6,11,23,11,3,7,1
17,153,40,47,6,13,27,13,5,7,1
18,150,42,50,3,12,30,16,6,8,1
19,146,43,54,4,14,29,17,6,10,2
20,144,43,57,3,10,33,19,5,13,2
21,137,49,64,7,15,34,18,7,14,2
22,134,51,67,3,15,36,23,8,15,2
23,127,55,74,7,16,39,21,9,18,2
24,121,58,80,6,20,38,21,9,20,3
25,117,59,85,5,17,42,21,11,24,3
26,114,58,88,3,14,44,19,11,28,3
27,109,58,93,5,13,45,20,13,32,4
28,105,59,98,5,11,48,21,14,36,4
29,99,62,104,6,15,47,23,15,38,5
30,96,59,108,4,17,42,22,16,45,5
31,91,62,113,5,15,47,23,15,47,5
32,86,64,118,5,12,52,22,15,50,5
33,83,62,121,3,11,51,28,11,55,5
34,80,63,124,3,9,54,35,10,57,5
35,77,57,127,3,10,47,30,10,65,6
36,76,54,129,2,8,46,30,10,70,6
37,75,49,130,1,7,42,27,9,76,6
38,67,49,138,8,12,37,24,8,83,7
39,65,50,141,3,12,38,23,9,85,7
40,63,49,143,2,9,40,23,9,87,9
41,63,44,145,2,9,35,19,9,94,9
42,61,40,147,2,6,34,17,10,100,9
43,61,37,147,0,4,33,18,8,103,9
44,61,32,147,0,2,30,18,8,108,9
45,60,31,148,1,2,29,19,7,110,9
46,58,29,150,2,3,26,18,6,114,9
47,57,28,151,1,4,24,18,5,116,9
48,56,26,152,1,4,22,17,4,119,9
49,54,25,154,2,6,19,14,4,122,9
50,51,22,156,2,6,16,11,3,127,10
51,50,20,157,1,5,15,8,3,129,12
52,52,15,157,0,3,12,7,1,134,12
53,51,14,158,1,3,11,8,0,136,12
54,50,14,159,1,3,11,9,0,137,12
55,50,13,159,0,1,12,9,0,138,12
56,50,12,159,0,1,11,9,0,139,12
57,50,12,159,0,1,11,11,0,139,12
58,50,9,159,0,0,9,8,0,140,14
59,51,10,160,1,1,9,8,0,140,15
60,51,10,161,1,2,8,8,0,141,15
61,51,8,161,0,2,6,6,0,143,16
62,52,7,161,0,1,6,5,0,144,16
63,50,8,163,2,3,5,4,0,145,16
64,50,7,163,0,2,5,4,0,146,16
65,50,5,163,0,1,4,2,0,148,16
66,50,5,163,0,0,5,3,0,148,16
67,50,5,163,0,0,5,4,0,148,16
68,50,4,163,0,0,4,4,0,149,17
69,50,5,164,1,1,4,4,0,149,17
70,50,5,164,0,1,4,4,0,149,17
71,50,5,164,0,1,4,4,0,149,17
72,50,4,164,0,1,3,3,0,150,17
73,50,4,164,0,0,4,3,0,150,17
74,50,3,164,0,0,3,2,0,151,17
75,50,2,164,0,0,2,2,0,152,17
76,50,1,164,0,0,1,1,0,153,17
77,50,1,164,0,0,1,1,0,153,17
78,50,1,164,0,0,1,1,0,153,17
79,50,1,164,0,0,1,1,0,153,17
80,50,1,164,0,0,1,1,0,153,18
81,50,2,165,1,1,1,1,0,153,18
82,50,2,165,0,1,1,1,0,153,18
83,49,2,166,1,2,0,0,0,154,18
84,49,2,166,0,2,0,0,0,154,18
85,48,3,167,1,2,1,0,0,154,18
86,48,3,167,0,2,1,0,0,154,18
87,48,3,167,0,1,2,1,0,154,18
88,48,3,167,0,1,2,1,0,154,18
89,48,3,167,0,0,3,1,1,154,18
90,47,4,168,1,1,3,1,1,154,19
91,47,5,169,1,2,3,2,1,154,19
92,47,5,169,0,1,4,2,1,154,19
93,47,5,169,0,1,4,2,1,154,19
94,47,5,169,0,0,5,2,2,154,19
95,47,4,169,0,0,4,1,2,155,19
96,47,4,169,0,0,4,2,2,155,19
97,47,3,169,0,0,3,2,1,156,19
98,47,3,169,0,0,3,2,1,156,19
99,47,2,169,0,0,2,1,1,157,19
100,47,2,169,0,0,2,1,1,157,19
101,47,2,169,0,0,2,1,1,157,19
102,47,1,169,0,0,1,1,0,158,19
103,47,1,169,0,0,1,1,0,158,19
104,46,1,170,1,1,0,0,0,159,20
105,47,1,170,0,1,0,0,0,159,20
106,47,1,170,0,0,1,0,0,159,20
107,47,1,170,0,0,1,0,0,159,20
108,47,1,170,0,0,1,1,0,159,21
109,48,1,170,0,0,1,1,0,159,21
110,47,2,171,1,1,1,1,0,159,21
111,47,2,171,0,1,1,1,0,159,21
112,47,2,171,0,0,2,1,0,159,21
113,46,3,172,1,1,2,1,0,159,21
114,45,4,173,1,2,2,1,1,159,21
115,45,4,173,0,2,2,1,1,159,21
116,45,3,173,0,2,1,0,1,160,21
117,45,3,173,0,0,3,0,1,160,21
118,45,3,173,0,0,3,0,1,160,21
119,45,3,173,0,0,3,1,2,160,21
120,45,3,173,0,0,3,1,2,160,21
121,45,3,173,0,0,3,1,2,160,21
122,45,2,173,0,0,2,1,1,161,21
123,44,2,173,0,0,2,1,1,161,22
124,45,2,173,0,0,2,1,1,161,22
125,45,2,173,0,0,2,1,1,161,22
126,45,2,173,0,0,2,1,1,161,22
127,45,0,173,0,0,0,0,0,163,22
128,45,0,173,0,0,0,0,0,163,22
129,45,0,173,0,0,0,0,0,163,22
130,45,0,173,0,0,0,0,0,163,22
131,45,0,173,0,0,0,0,0,163,22
132,44,0,173,0,0,0,0,0,163,23
133,45,0,173,0,0,0,0,0,163,23
134,45,0,173,0,0,0,0,0,163,23
135,45,0,173,0,0,0,0,0,163,23
136,45,0,173,0,0,0,0,0,163,23
137,45,0,173,0,0,0,0,0,163,23
138,45,0,173,0,0,0,0,0,163,23
139,45,0,173,0,0,0,0,0,163,23
140,45,0,173,0,0,0,0,0,163,23
141,45,0,173,0,0,0,0,0,163,23
142,45,0,173,0,0,0,0,0,163,23
143,45,0,173,0,0,0,0,0,163,23
144,45,0,173,0,0,0,0,0,163,23
145,45,0,173,0,0,0,0,0,163,23
146,45,0,173,0,0,0,0,0,163,23
147,45,0,173,0,0,0,0,0,163,23
148,45,0,173,0,0,0,0,0,163,23
149,45,0,173,0,0,0,0,0,163,23
150,45,0,173,0,0,0,0,0,163,23
151,45,0,173,0,0,0,0,0,163,23
152,45,0,173,0,0,0,0,0,163,24
153,46,0,173,0,0,0,0,0,163,24
154,46,0,173,0,0,0,0,0,163,24
