
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Dead
0,198,2,2,2,2,0,0,0,0,0
1,197,3,3,1,3,0,0,0,0,0
2,196,4,4,1,4,0,0,0,0,0
3,196,4,4,0,3,1,0,0,0,0
4,195,5,5,1,3,2,0,0,0,0
5,194,6,6,1,3,3,1,0,0,0
6,192,8,8,2,4,4,1,1,0,0
7,191,9,9,1,4,5,2,1,0,0
8,189,11,11,2,5,6,3,1,0,0
9,189,11,11,0,4,7,4,1,0,0
10,188,12,12,1,2,10,5,1,0,0
11,187,13,13,1,3,10,5,2,0,0
12,186,14,14,1,2,12,7,3,0,0
13,181,18,19,5,6,12,6,3,1,0
14,180,18,20,1,7,11,6,4,2,0
15,175,21,24,4,7,14,6,4,3,1
16,173,23,27,3,8,15,5,4,4,1
17,171,24,29,2,10,14,8,4,5,1
18,170,24,30,1,6,18,8,5,6,1
19,168,25,32,2,4,21,8,4,7,1
20,166,24,34,2,6,18,10,4,10,1
21,164,26,36,2,5,21,13,5,10,1
22,162,25,38,2,6,19,12,3,12,2
23,162,24,39,1,6,18,12,4,13,3
24,159,28,43,4,8,20,13,4,13,3
25,157,27,45,2,6,21,11,4,16,3
26,155,27,47,2,7,20,11,4,18,3
27,153,29,49,2,9,20,13,6,18,3
28,152,26,50,1,6,20,11,5,22,3
29,148,26,54,4,7,19,8,4,26,3
30,147,27,55,1,7,20,10,6,26,3
31,145,26,57,2,3,23,11,5,29,3
32,143,27,59,2,4,23,11,5,30,3
33,142,27,60,1,5,22,13,8,31,3
34,141,26,61,1,5,21,13,7,33,3
35,139,24,63,2,6,18,11,5,37,3
36,137,25,65,2,6,19,11,5,38,3
37,134,28,68,3,7,21,11,6,38,3
38,133,25,69,1,7,18,11,4,42,3
39,130,25,72,3,8,17,9,5,45,3
40,130,24,72,0,7,17,8,6,46,3
41,129,19,73,1,4,15,7,3,52,3
42,129,18,73,0,2,16,7,3,53,3
43,127,20,75,2,2,18,9,5,53,3
44,125,21,77,2,4,17,8,7,54,3
45,124,21,78,1,3,18,10,6,55,3
46,120,23,82,4,5,18,8,6,57,3
47,115,26,87,5,10,16,9,5,59,3
48,112,28,90,3,12,16,10,5,60,3
49,109,29,93,3,10,19,8,5,62,3
50,109,28,93,0,7,21,8,5,63,3
51,108,25,94,1,3,22,10,4,67,3
52,106,25,96,2,3,22,12,3,69,3
53,105,23,97,1,3,20,13,4,71,4
54,104,25,99,2,5,20,15,4,71,4
55,103,24,100,1,4,20,14,4,73,4
56,99,26,104,4,7,19,13,3,75,4
57,97,28,106,2,8,20,14,4,75,4
58,96,28,107,1,5,23,14,4,76,4
59,96,24,107,0,4,20,12,3,80,4
60,92,25,111,4,4,21,13,3,83,4
61,90,22,113,2,6,16,10,2,88,4
62,88,22,115,2,6,16,11,3,90,4
63,87,22,116,1,6,16,10,3,91,4
64,85,24,118,2,5,19,12,3,91,4
65,83,23,120,2,4,19,11,2,93,5
66,84,22,120,0,3,19,13,2,94,5
67,82,24,122,2,4,20,15,3,94,5
68,80,22,124,2,5,17,12,3,98,5
69,80,21,124,0,3,18,12,3,99,5
70,79,18,125,1,4,14,9,3,103,5
71,77,20,127,2,4,16,10,4,103,5
72,75,20,129,2,4,16,8,4,105,5
73,73,21,131,2,4,17,9,4,106,5
74,71,19,133,2,5,14,7,4,109,6
75,71,17,134,1,6,11,7,3,112,6
76,70,16,134,0,4,12,7,3,113,7
77,70,16,135,1,4,12,6,3,114,7
78,69,16,136,1,2,14,8,2,115,7
79,68,16,137,1,2,14,9,1,116,7
80,68,16,137,0,1,15,11,2,116,7
81,67,15,138,1,2,13,9,3,118,7
82,67,13,138,0,1,12,8,3,120,7
