
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,598,2,2,2,2,0,0,0,0,0,0,0
1,598,2,2,0,2,0,0,0,0,0,0,0
2,597,2,2,0,1,1,0,0,0,0,0,1
3,597,2,2,0,0,2,0,0,0,0,0,2
4,598,2,2,0,0,2,1,0,0,0,0,2
5,598,2,2,0,0,2,2,0,0,0,0,2
6,597,3,3,1,1,2,2,0,0,0,0,2
7,596,3,3,0,1,2,2,0,0,0,0,3
8,597,3,3,0,1,2,2,0,0,0,0,3
9,597,3,3,0,0,3,2,0,0,0,0,3
10,597,3,3,0,0,3,2,0,0,0,0,3
11,595,4,4,1,1,3,3,0,0,0,0,4
12,596,3,4,0,1,2,2,0,1,0,1,4
13,595,2,4,0,0,2,1,0,2,0,2,5
14,594,3,5,1,1,2,1,0,2,0,2,6
15,595,3,5,0,1,2,2,0,2,0,2,6
16,594,4,6,1,2,2,2,0,2,0,2,6
17,593,4,6,0,2,2,2,0,2,0,2,7
18,592,5,7,1,2,3,2,0,2,0,2,8
19,592,4,7,0,1,3,1,0,3,0,3,9
20,592,5,8,1,2,3,2,0,3,0,3,9
21,592,5,8,0,1,4,3,0,3,0,3,9
22,591,6,9,1,2,4,3,0,3,0,3,9
23,590,6,10,1,2,4,3,0,4,1,3,9
24,586,9,13,3,4,5,3,0,4,1,3,10
25,587,9,13,0,3,6,4,0,4,1,3,10
26,587,9,13,0,3,6,5,0,4,1,3,10
27,587,9,13,0,0,9,6,0,4,1,3,10
28,586,9,14,1,1,8,5,0,5,1,4,10
29,583,11,17,3,4,7,5,2,6,2,4,10
30,582,12,18,1,4,8,5,2,6,2,4,10
31,581,12,19,1,4,8,4,2,7,2,5,10
32,581,12,19,0,2,10,5,2,7,2,5,10
33,579,12,21,2,3,9,3,3,8,3,5,11
34,579,12,22,1,3,9,4,3,9,4,5,11
35,578,12,22,0,3,9,4,4,9,4,5,12
36,577,14,24,2,4,10,5,4,9,4,5,12
37,576,12,25,1,4,8,4,2,12,4,8,12
38,575,13,26,1,4,9,4,3,12,4,8,12
39,572,15,28,2,6,9,5,3,12,4,8,13
40,571,16,30,2,5,11,5,3,13,4,9,13
41,571,15,30,0,4,11,5,2,14,4,10,13
42,570,14,31,1,3,11,5,3,16,4,12,13
43,569,14,32,1,2,12,6,2,17,5,12,13
44,567,15,34,2,4,11,6,3,18,5,13,13
45,566,16,35,1,5,11,8,3,18,5,13,13
46,566,13,35,0,3,10,6,2,19,5,14,15
47,568,12,35,0,1,11,5,2,20,5,15,15
48,567,11,35,0,0,11,5,3,21,6,15,16
49,565,14,38,3,3,11,7,3,21,6,15,16
50,563,14,40,2,5,9,7,2,23,8,15,16
51,563,13,40,0,5,8,6,2,24,9,15,16
52,559,14,43,3,5,9,5,1,26,10,16,17
53,558,14,44,1,4,10,4,1,27,11,16,18
54,556,15,45,1,4,11,7,1,27,11,16,20
55,558,15,45,0,3,12,8,2,27,11,16,20
56,557,14,46,1,2,12,7,2,29,11,18,20
57,553,15,49,3,4,11,6,2,31,13,18,21
58,551,16,51,2,6,10,7,2,32,14,18,22
59,550,17,52,1,6,11,7,3,32,14,18,23
60,550,18,53,1,5,13,7,3,32,14,18,23
61,549,19,54,1,5,14,8,3,32,14,18,23
62,548,17,55,1,2,15,7,3,35,15,20,23
63,546,17,57,2,3,14,7,2,37,16,21,23
64,544,18,59,2,5,13,11,1,38,17,21,23
65,542,18,60,1,5,13,11,1,39,17,22,24
66,542,17,61,1,4,13,9,1,41,18,23,24
67,539,18,63,2,5,13,9,1,42,18,24,25
68,535,22,67,4,8,14,10,2,42,18,24,26
69,536,21,67,0,6,15,10,2,43,18,25,26
70,535,20,68,1,6,14,9,2,45,18,27,26
71,532,21,70,2,4,17,10,2,46,18,28,27
72,530,19,72,2,5,14,7,2,50,21,29,28
73,531,18,72,0,4,14,10,2,51,21,30,28
74,530,19,73,1,4,15,11,2,51,21,30,28
75,529,19,74,1,3,16,12,1,52,21,31,28
