Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,199.857,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.072
1,199.826,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.175
2,199.833,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.278
3,199.823,0.075,0.015,0.009,0.006,0.015,0.009,0.006,0.045,0.03,0.0,0.0,0.0,0.0,0.0,0.38
4,199.814,0.081,0.021,0.014,0.007,0.006,0.005,0.001,0.021,0.06,0.02,0.01,0.0,0.0,0.0,0.485
5,199.807,0.092,0.032,0.021,0.011,0.011,0.007,0.004,0.032,0.06,0.02,0.01,0.0,0.0,0.0,0.586
6,199.778,0.12,0.047,0.029,0.018,0.015,0.008,0.007,0.042,0.078,0.044,0.027,0.0,0.0,0.0,0.688
7,199.736,0.139,0.063,0.041,0.022,0.016,0.012,0.004,0.049,0.09,0.044,0.027,0.0,0.0,0.0,0.813
8,199.747,0.151,0.077,0.052,0.025,0.014,0.011,0.003,0.044,0.107,0.051,0.027,0.0,0.0,0.0,0.915
9,199.708,0.176,0.098,0.066,0.032,0.021,0.014,0.007,0.057,0.119,0.053,0.032,0.0,0.0,0.0,1.031
10,199.719,0.176,0.109,0.074,0.035,0.011,0.008,0.003,0.053,0.123,0.066,0.03,0.0,0.0,0.0,1.136
11,199.715,0.197,0.13,0.084,0.046,0.021,0.01,0.011,0.056,0.141,0.074,0.033,0.0,0.0,0.0,1.224
12,199.675,0.184,0.147,0.092,0.055,0.017,0.008,0.009,0.053,0.131,0.064,0.029,0.03,0.0,0.03,1.335
13,199.622,0.232,0.182,0.113,0.069,0.035,0.021,0.014,0.079,0.153,0.078,0.032,0.071,0.0,0.071,1.44
14,199.603,0.217,0.197,0.118,0.079,0.015,0.005,0.01,0.073,0.144,0.08,0.024,0.071,0.0,0.071,1.549
15,199.573,0.255,0.227,0.128,0.099,0.03,0.01,0.02,0.081,0.174,0.088,0.034,0.071,0.0,0.071,1.65
16,199.534,0.294,0.259,0.141,0.118,0.032,0.013,0.019,0.091,0.203,0.104,0.042,0.077,0.006,0.071,1.752
17,199.521,0.306,0.29,0.152,0.138,0.031,0.011,0.02,0.1,0.206,0.112,0.035,0.089,0.011,0.078,1.847
18,199.484,0.316,0.32,0.166,0.154,0.03,0.014,0.016,0.087,0.229,0.111,0.039,0.107,0.02,0.087,1.951
19,199.433,0.345,0.359,0.181,0.178,0.039,0.015,0.024,0.108,0.237,0.128,0.047,0.118,0.027,0.091,2.066
20,199.374,0.388,0.396,0.198,0.198,0.037,0.017,0.02,0.125,0.263,0.144,0.058,0.134,0.039,0.095,2.171
21,199.34,0.406,0.433,0.215,0.218,0.037,0.017,0.02,0.129,0.277,0.147,0.062,0.15,0.05,0.1,2.273
22,199.28,0.45,0.484,0.243,0.241,0.051,0.028,0.023,0.142,0.308,0.148,0.074,0.172,0.063,0.109,2.371
23,199.201,0.491,0.533,0.264,0.269,0.049,0.021,0.028,0.16,0.331,0.159,0.083,0.186,0.069,0.117,2.489
24,199.173,0.526,0.592,0.286,0.306,0.059,0.022,0.037,0.183,0.343,0.178,0.085,0.203,0.077,0.126,2.596
25,199.118,0.547,0.645,0.309,0.336,0.053,0.023,0.03,0.175,0.372,0.169,0.097,0.232,0.093,0.139,2.707
26,199.072,0.586,0.709,0.332,0.377,0.064,0.023,0.041,0.179,0.407,0.19,0.097,0.255,0.104,0.151,2.8
27,198.965,0.645,0.769,0.365,0.404,0.06,0.033,0.027,0.198,0.447,0.216,0.103,0.281,0.109,0.172,2.9
28,198.899,0.667,0.835,0.409,0.426,0.066,0.044,0.022,0.202,0.465,0.235,0.104,0.316,0.124,0.192,3.003
29,198.806,0.731,0.915,0.447,0.468,0.08,0.038,0.042,0.219,0.512,0.264,0.114,0.341,0.131,0.21,3.111
30,198.73,0.795,1.003,0.487,0.516,0.088,0.04,0.048,0.258,0.537,0.288,0.129,0.368,0.137,0.231,3.195
31,198.642,0.847,1.087,0.523,0.564,0.084,0.036,0.048,0.282,0.565,0.302,0.134,0.404,0.146,0.258,3.298
32,198.557,0.878,1.17,0.557,0.613,0.083,0.034,0.049,0.264,0.614,0.298,0.136,0.453,0.163,0.29,3.404
33,198.472,0.931,1.259,0.589,0.67,0.089,0.032,0.057,0.272,0.659,0.334,0.144,0.485,0.174,0.311,3.509
34,198.348,1.006,1.355,0.634,0.721,0.096,0.045,0.051,0.296,0.71,0.374,0.162,0.527,0.194,0.333,3.61
35,198.25,1.036,1.454,0.677,0.777,0.099,0.043,0.056,0.308,0.728,0.385,0.177,0.577,0.216,0.361,3.722
36,198.145,1.094,1.567,0.722,0.845,0.113,0.045,0.068,0.32,0.774,0.387,0.19,0.645,0.243,0.402,3.812
37,197.982,1.195,1.714,0.788,0.926,0.147,0.066,0.081,0.371,0.824,0.415,0.187,0.693,0.254,0.439,3.909
38,197.894,1.243,1.842,0.846,0.996,0.128,0.058,0.07,0.4,0.843,0.429,0.208,0.761,0.278,0.483,3.996
39,197.756,1.292,1.957,0.901,1.056,0.115,0.055,0.06,0.39,0.902,0.463,0.214,0.82,0.294,0.526,4.111
40,197.663,1.358,2.076,0.956,1.12,0.119,0.055,0.064,0.388,0.97,0.496,0.229,0.868,0.321,0.547,4.205
41,197.494,1.451,2.224,1.028,1.196,0.148,0.072,0.076,0.412,1.039,0.534,0.245,0.939,0.358,0.581,4.299
42,197.343,1.505,2.383,1.095,1.288,0.159,0.067,0.092,0.46,1.045,0.544,0.257,1.029,0.394,0.635,4.397
43,197.186,1.581,2.533,1.161,1.372,0.15,0.066,0.084,0.468,1.113,0.584,0.272,1.111,0.43,0.681,4.496
44,196.992,1.676,2.703,1.233,1.47,0.17,0.072,0.098,0.493,1.183,0.608,0.28,1.179,0.456,0.723,4.612
45,196.871,1.736,2.865,1.306,1.559,0.162,0.073,0.089,0.505,1.231,0.633,0.293,1.27,0.494,0.776,4.71
46,196.715,1.792,3.028,1.382,1.646,0.163,0.076,0.087,0.512,1.28,0.667,0.3,1.372,0.534,0.838,4.808
47,196.554,1.851,3.194,1.464,1.73,0.166,0.082,0.084,0.519,1.332,0.7,0.318,1.473,0.573,0.9,4.906
48,196.352,1.952,3.379,1.546,1.833,0.185,0.082,0.103,0.526,1.426,0.738,0.34,1.569,0.609,0.96,5.001
49,196.162,2.019,3.569,1.635,1.934,0.19,0.089,0.101,0.557,1.462,0.765,0.348,1.683,0.651,1.032,5.102
50,195.977,2.074,3.756,1.715,2.041,0.187,0.08,0.107,0.578,1.496,0.808,0.363,1.805,0.696,1.109,5.214
51,195.777,2.132,3.942,1.779,2.163,0.186,0.064,0.122,0.583,1.549,0.832,0.363,1.928,0.744,1.184,5.33
52,195.634,2.212,4.141,1.863,2.278,0.199,0.084,0.115,0.589,1.623,0.871,0.372,2.033,0.794,1.239,5.432
53,195.413,2.285,4.358,1.96,2.398,0.217,0.097,0.12,0.639,1.646,0.909,0.379,2.171,0.848,1.323,5.543
54,195.189,2.375,4.604,2.071,2.533,0.246,0.111,0.135,0.673,1.702,0.939,0.385,2.315,0.914,1.401,5.647
55,194.939,2.461,4.821,2.169,2.652,0.217,0.098,0.119,0.704,1.757,0.949,0.395,2.458,0.969,1.489,5.762
