Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,597.11,2.53,2.53,2.53,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.36
1,597.17,2.53,2.53,0.0,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.66
2,597.21,2.53,2.53,0.0,1.62,0.91,0.0,0.0,0.0,0.0,0.0,0.92
3,597.03,2.72,2.72,0.19,1.05,1.67,0.0,0.0,0.0,0.0,0.0,1.17
4,596.72,3.02,3.02,0.3,0.49,2.53,0.55,0.36,0.0,0.0,0.0,1.43
5,596.26,3.49,3.49,0.47,0.93,2.56,1.02,0.65,0.0,0.0,0.0,1.68
6,595.75,3.99,3.99,0.5,1.24,2.75,1.5,1.03,0.0,0.0,0.0,1.94
7,595.0,4.63,4.63,0.64,1.52,3.11,1.51,1.05,0.0,0.0,0.0,2.31
8,594.48,5.24,5.24,0.61,1.8,3.44,1.65,1.1,0.0,0.0,0.0,2.59
9,593.76,5.87,5.87,0.63,1.89,3.98,1.9,1.21,0.0,0.0,0.0,2.96
10,593.22,6.51,6.51,0.64,1.86,4.65,2.13,1.31,0.0,0.0,0.0,3.23
11,592.24,7.44,7.44,0.93,2.21,5.23,2.51,1.47,0.0,0.0,0.0,3.55
12,591.49,7.31,8.22,0.78,2.25,5.06,2.47,1.27,0.91,0.0,0.91,3.84
13,590.88,7.21,8.9,0.68,2.33,4.88,2.38,1.16,1.67,0.0,1.67,4.08
14,590.28,6.93,9.51,0.61,2.01,4.92,2.44,0.95,2.53,0.0,2.53,4.34
15,589.66,7.56,10.18,0.67,1.93,5.63,2.84,1.11,2.56,0.02,2.54,4.56
16,588.81,8.13,10.99,0.81,2.06,6.07,3.29,1.35,2.75,0.13,2.62,4.87
17,587.92,8.62,11.85,0.86,2.26,6.36,3.53,1.5,3.09,0.29,2.8,5.24
18,587.17,9.1,12.7,0.85,2.39,6.71,3.76,1.58,3.42,0.47,2.95,5.55
19,586.15,9.62,13.76,1.06,2.84,6.78,3.84,1.61,3.92,0.71,3.21,5.86
20,585.13,10.0,14.79,1.03,2.95,7.05,3.87,1.65,4.54,1.14,3.4,6.19
21,584.08,10.43,15.78,0.99,3.01,7.42,3.92,1.66,5.07,1.39,3.68,6.61
22,583.11,10.79,16.89,1.11,3.22,7.57,3.96,1.78,5.77,1.78,3.99,6.94
23,582.2,11.18,17.89,1.0,3.17,8.01,4.1,1.96,6.35,2.02,4.33,7.21
24,581.1,11.25,18.97,1.08,3.3,7.95,4.03,1.92,7.27,2.45,4.82,7.59
25,580.01,11.69,20.13,1.16,3.35,8.34,4.33,1.95,7.95,2.76,5.19,7.94
26,578.84,12.23,21.35,1.22,3.47,8.76,4.48,2.08,8.58,3.02,5.56,8.29
27,577.8,12.75,22.51,1.16,3.48,9.27,4.82,2.21,9.18,3.26,5.92,8.56
28,576.53,13.34,23.8,1.29,3.61,9.73,5.01,2.41,9.86,3.51,6.35,8.84
29,575.0,14.11,25.26,1.46,3.95,10.16,5.3,2.58,10.45,3.72,6.73,9.29
30,573.7,14.73,26.77,1.51,4.27,10.46,5.51,2.64,11.33,3.97,7.36,9.55
31,572.13,15.26,28.26,1.49,4.51,10.75,5.68,2.64,12.22,4.34,7.88,9.96
32,570.83,15.85,29.72,1.46,4.6,11.25,5.95,2.68,13.06,4.72,8.34,10.25
33,569.19,16.36,31.33,1.61,4.71,11.65,5.95,2.83,14.08,5.15,8.93,10.67
34,567.56,17.16,33.04,1.71,4.97,12.19,6.23,3.01,14.96,5.42,9.54,11.04
