
Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,196,4,4,0,4,4,0,4,4,0,0,0,0,0,0,0
1,196,4,4,0,4,0,0,0,4,0,0,0,0,0,0,0
2,196,4,4,0,4,0,0,0,3,1,0,0,0,0,0,0
3,196,4,4,0,4,0,0,0,1,3,0,0,0,0,0,0
4,196,4,4,0,4,0,0,0,0,4,0,1,0,0,0,0
5,194,5,5,0,5,1,0,1,1,4,1,2,0,0,0,1
6,195,5,5,0,5,0,0,0,1,4,2,2,0,0,0,1
7,193,7,7,1,6,2,1,1,3,4,2,2,0,0,0,1
8,193,7,7,1,6,0,0,0,3,4,2,2,0,0,0,1
9,192,8,8,1,7,1,0,1,2,6,2,2,0,0,0,1
10,192,8,8,1,7,0,0,0,2,6,2,2,0,0,0,1
11,191,9,9,1,8,1,0,1,2,7,4,2,0,0,0,1
12,191,8,9,1,8,0,0,0,2,6,4,1,1,0,1,1
13,191,6,9,1,8,0,0,0,1,5,4,0,3,0,3,1
14,191,5,9,1,8,0,0,0,0,5,3,0,4,0,4,1
15,189,7,11,3,8,2,2,0,2,5,4,0,4,0,4,1
16,187,9,13,5,8,2,2,0,4,5,4,1,4,0,4,1
17,187,9,13,5,8,0,0,0,3,6,4,1,4,0,4,1
18,187,9,13,5,8,0,0,0,1,8,4,1,4,0,4,1
19,186,8,14,5,9,1,0,1,2,6,3,1,6,0,6,1
20,186,8,14,5,9,0,0,0,1,7,5,1,6,0,6,1
21,184,9,16,7,9,2,2,0,3,6,4,1,7,1,6,1
22,184,9,16,7,9,0,0,0,3,6,5,1,7,1,6,1
23,182,9,17,7,10,1,0,1,2,7,4,1,8,1,7,2
24,183,7,17,7,10,0,0,0,2,5,3,0,9,1,8,3
25,184,7,17,7,10,0,0,0,1,6,5,0,9,1,8,3
26,183,8,18,7,11,1,0,1,2,6,5,0,9,1,8,3
27,181,9,20,7,13,2,0,2,3,6,5,0,10,2,8,3
28,179,10,23,7,16,3,0,3,5,5,4,0,11,3,8,3
29,177,12,25,8,17,2,1,1,6,6,5,0,11,3,8,3
30,177,11,25,8,17,0,0,0,6,5,4,0,12,4,8,3
31,175,13,26,9,17,1,1,0,4,9,5,0,12,4,8,3
32,172,16,30,11,19,4,2,2,5,11,5,0,12,4,8,3
